,Name
Yasuo Kuniyoshi,59
Christopher Wool,59
Barnett Newman,59
Sam Francis,59
Hugh Townley,59
Martin Parr,58
Maurice Utrillo,58
William Gedney,58
Manuel Álvarez Bravo,58
Rudy Pozzatti,58
Günther Förg,58
Alfredo Zalce,58
Gerhard Marcks,58
Robert Heinecken,57
James Prestini,57
Kelley Walker,57
Elie Nadelman,57
David Shrigley,56
A. G. Fronzoni,56
Mathew B. Brady (studio of),56
Karl Schmidt-Rottluff,56
"Gilbert & George, Gilbert Proesch, George Passmore",56
Milan Knížák,56
Nam June Paik,56
"Dieter Roth, Ingrid Wiener",56
Billy Al Bengston,55
Juan Hidalgo,55
Ruth Asawa,55
Hans Bellmer,55
George Platt Lynes,55
Florine Stettheimer,55
Dan Weiner,55
Gunta Stölzl,55
Matsumi Kanemitsu,54
Mateo López,54
Chris Burden,54
Marina Abramović,54
León Ferrari,54
Elliott Erwitt,54
Mieko Shiomi,54
Maurizio Cattelan,53
Lee Bontecou,53
André Kertész,53
Michael Mazur,53
NASA,53
Enrico Baj,52
Minor White,52
Mira Schendel,52
Luigi Ghirri,52
Walt Kuhn,52
Larry Sultan,52
Stephen White,52
Clinton Adams,52
Gego (Gertrud Goldschmidt),52
Dan Graham,52
Agnes Martin,52
Vito Acconci,51
Robert Gober,51
Jorge Pardo,51
"Robert Brownjohn, Ivan Chermayeff, Thomas Geismar",51
Ernest J. Bellocq,51
Alexander Gardner,51
Ilya Kabakov,51
Bruce Davidson,50
David Goldblatt,50
"Various Artists, Leonid Akishin, Natan Al'tman, Vladimir Baranoff-Rossiné, Kseniia Boguslavskaia, David Buryshkin, The Decorative Arts Institute, Mstislav Dobuzhinskii, Duplitskii, Izoram, Vladimir Kozlinskii, Boris Kustodiev, Vladimir Lebedev, Sarra Lebedeva, Mikhail Matiushin, The October Brigade, Proletkult, Leningrad, David Shterenberg, N. A. Trotskii, Unknown Artist",50
Paul McCarthy,50
Richard Hamilton,50
Louise Lawler,50
John Sloan,50
Per Kirkeby,50
Alvin Langdon Coburn,50
Philip-Lorca diCorcia,50
Richard Artschwager,50
Walter Dexel,49
Alfred Kubin,49
Robert Morris,49
Markus Raetz,49
William Klein,49
Zdenek Rossmann,48
Léon Zack,48
General Idea,48
Destroy All Monsters,48
Félix Vallotton,48
Douglas Darden,48
Damien Hirst,48
Olav Christopher Jenssen,48
José Antonio Attolini Lack,48
Franz West,47
Arnold Newman,47
Bezalel Schatz,47
Chuck Close,47
Robert Ryman,47
Joseph Grigely,47
Rachel Whiteread,47
Marcel Jean,47
Frederick Sommer,47
Harrell Fletcher,46
Madoka Takagi,46
Gabriel Orozco,46
Jean Fautrier,46
James McGarrell,46
Roger Vieillard,46
A. M. Cassandre,46
James Siena,46
Richard Serra,46
Édouard Vuillard,45
Christopher Wilmarth,45
"Alexander Gardner, Timothy O'Sullivan",45
Harold Altman,45
Mel Bochner,45
Christian Marclay,45
John Cage,45
Yoko Ono,45
Jacques-Henri Lartigue,45
La Monte Young,44
Harun Farocki,44
Joel Meyerowitz,44
Robert Filliou,44
Pierre Laprade,44
Augustin Tschinkel,44
"John Baldessari, Harry Shunk, János Kender",44
Blinky Palermo,44
Lee Mullican,43
Danny Lyon,43
Cy Twombly,43
Antonio Saura,43
Maryan S. Maryan,43
Horst Antes,43
Benjamin Patterson,43
Joel Shapiro,43
"Gert Tobias, Uwe Tobias",43
Anish Kapoor,43
Abram Games,43
"Gary Metz, John Moore",43
Allen Ruppersberg,43
Irma Boom,43
Álvaro Barrios,42
Frank Gohlke,42
Zarina,42
Robert Andrew Parker,42
Louis Marcoussis,42
André Collot,42
Rodolfo Abularach,42
Boris Mikhailov,42
Vija Celmins,42
Markus Lüpertz,42
"Edo Murtic, Zlatko Prica",42
Varvara Stepanova,41
"Peter Henry Emerson, T. F. Goodall",41
Captain William de Wiveleslie Abney,41
George Lockwood,41
Otto Piene,41
Willi Baumeister,41
Nick Mauss,41
Fred W. McDarrah,41
Cady Noland,41
Eugène Nestor de Kermadec,41
Ed Moses,41
James Boynton,41
Olga Rozanova,41
Maxime Du Camp,41
Jan Stussy,41
Juan Gris,40
Experimental Jetset,40
Mario Prassinos,40
Felix Gonzalez-Torres,40
John Walker,40
W. Eugene Smith,40
Max Klinger,40
Shomei Tomatsu,40
Adrian Piper,40
Marie Laurencin,40
Eugene Buechel,40
Charles Sheeler,40
Susan Rothenberg,40
Beth Van Hoesen,40
Christian Holstad,39
Alvar Aalto,39
Joan Mitchell,39
Jean Tschumi,39
Kaj Franck,39
"Massimo Vignelli, Lella Vignelli",39
José Clemente Orozco,39
Stanley Brouwn,39
Démétrius Emmanuel Galanis,39
Walid Raad,39
Vik Muniz,39
Jacob Lawrence,39
Almir Mavignier,39
Jay Bolotin,39
Julie Mehretu,38
Timothy O'Sullivan,38
"Dan Graham, Harry Shunk, János Kender",38
Les Levine,38
Robert Israel,38
Richard Diebenkorn,38
Richard Long,38
Ynez Johnston,38
Carl Andre,38
Aleksandr Archipenko,37
Theo van Doesburg (Christian Emil Marie Küpper),37
Gabor Peterdi,37
Gay Block,37
Wilhelm Lehmbruck,37
Allen Jones,37
Peggy Bacon,37
Victor Vasarely,37
Imogen Cunningham,37
Lynn Hershman Leeson,37
Johannes Molzahn,37
Adja Yunkers,36
John B. Greene,36
Max Burchartz,36
James Welling,36
Cesare Peverelli,36
Gustav Klutsis,36
Franciszek Starowieyski,36
James Strombotne,36
Marcel Dzama,35
Jake Berthot,35
Wilhelm Wagenfeld,35
Wolfgang Tillmans,35
Luke Swank,35
Ad Reinhardt,35
Alfred Jensen,35
Rudolph Von Ripper,35
Hedda Sterne,35
Jorge Castillo,35
Frederick Kiesler,35
Tod Papageorge,35
Robert Barry,35
Frederick Wiseman,35
"Lee Jaffe, Harry Shunk, János Kender",35
Lewis Baltz,35
Josef Koudelka,35
Robert Mapplethorpe,35
H. C. Westermann,35
Bernhard Luginbühl,35
John Paul Jones,35
Ben Kinmont,35
Karl Bohrmann,34
Richard Riemerschmid,34
Armin Hofmann,34
Robert Indiana,34
Willem Jacob Henri Berend Sandberg,34
Leon Golub,34
"David Octavius Hill, Robert Adamson",34
Ralph Steiner,34
Willem de Ridder,34
Mario Botta,34
Gordon Matta-Clark,34
Anne Ryan,34
Louis Comfort Tiffany,34
Axel Salto,34
Tom Phillips,34
Stanley William Hayter,34
Thomas Hirschhorn,34
Paul Wunderlich,34
James Brown,33
Melissa Shook,33
Davor Vrankic,33
Alfred Jarry,33
Paul Gauguin,33
Peter Henry Emerson,33
Tom Wesselmann,33
Grace Hartigan,33
Ken Price,33
Richard Benson,33
Steven Holl,33
Erik Gunnar Asplund,33
Leonel Gongora,33
Liliana Porter,33
Rebecca Horn,33
Martín Chambi,33
Fritz Glarner,33
J.J.J. (Jean-Jacques-Joachim) Rigal,33
Max Bill,33
Simone Forti,33
Gustave Le Gray,33
José Chávez Morado,32
Richard Hunt,32
Günter Brus,32
Christopher Williams,32
"Mario Merz, Harry Shunk, János Kender",32
Fernando Martín Menis,32
