,Name
"Achille Castiglioni, Pier Giacomo Castiglioni",4
Pawel Althamer,4
Jimmy DeSana,4
Anonymous,4
Marisa Merz,4
Acharya Vyakul,4
Thomas Tulis,4
Martin Kersels,4
Ivan Kudriashov,4
Bernhard Jaeger,4
William H. Rau,4
Ivan Chermayeff,4
Geoffrey Biddle,4
Kalup Linzy,4
Iwata Nakayama,4
Silvia Bächli,4
Oscar Niemeyer,4
Henri Rousseau,4
Hans Hammarskiold,4
Salvo (Salvatore Mangione),4
Edin Vélez,4
Pieter Laurens Mol,4
Ottheinrich Strohmeyer,4
Guillermo Bermúdez,4
Kay Sage,4
Paul Ranson,4
Adolf Richard Fleischmann,4
Amelie von Wulffen,4
"Pierre Bonnard, Alfred Jarry, Pierre Bonnard",4
"Antón Garcia-Abril, Javier Cuesta Rodríguez-Torices, Débora Mesa",4
Marcel Gromaire,4
John Stezaker,4
"Jean Tschumi, Edouard-Marcel Sandoz",4
Jerry Kearns,4
Clarence Kennedy,4
Robert Hodgins,4
Antti Nurmesniemi,4
"Miguel Rodrigo Mazuré, Emilio Soyer, Miguel Cruchaga Belaúnde",4
Eugen Wiskovsky,4
Giovanni Anselmo,4
Jane Freilicher,4
Birney Imes III,4
Raùl Miliàn,4
Michael Williams,4
Enrique Metinides,4
"Martin Roberts, Conran Associates",4
Steve Wolfe,4
Swoon,4
Ricci Albenda,4
Toshio Shibata,4
Deborah Stratman,4
Jack Lenor Larsen,4
Juan Sordo Madaleno,4
Al Hansen,4
Émile-Antoine Bourdelle,4
Chauncey Hare,4
Jerry Schatzberg,4
Joey Kötting,4
Tracy Nakayama,4
Mabel Rubli,4
Rafael Lozano-Hemmer,4
Gladys Nilsson,4
Alice Hutchins,4
Michael Heindorff,4
Apple Industrial Design Group,4
Bradley Walker Tomlin,4
Michael Scoggins,4
Paula Modersohn-Becker,4
Marcel Slodki,4
Mary Petty,4
Mimmo Rotella,4
Mauricio Lasansky,4
Jenny Perlin,4
Georges D'espagnat,4
Peter Phillips,4
Paul D'Amato,4
Richard Seewald,4
Jack Zajac,4
Edith Heath,4
"Frédéric Druot, Anne Lacaton, Jean Philippe Vassal",4
Hellen Van Meene,4
"Marie Cool, Fabio Balducci",4
Walther Ruttmann,4
John Freeman,4
Alan Cote,4
Alain Jacquet,4
Chaim Koppelman,4
Homer Page,4
Simon Denny,4
Joachim Schönfeldt,4
"Elia Zenghelis, Zoe Zenghelis",4
Jason Middlebrook,4
"Matthias Sauerbruch, Louisa Hutton",4
B. F. Ford,4
Rudolph De Harak,4
Marguerita Mergentime,4
Pierre Betz,4
Peter Booth,4
Collier Schorr,4
Jeffrey Silverthorne,4
Thomas Minkler,4
Ulises Carrión,4
Eugenio Dittborn,4
Leigh Ledare,4
"Ronald Rael, Virginia San Fratello",4
Jared Bark,4
Sybil Andrews,4
"Various Artists, Natalia Goncharova, Mikhail Larionov, Nikolai Rogovin, Vladimir Tatlin",4
Petr Galadzhev,4
Paul Haustein,4
Alan J. Pakula,4
Jeanne Moutoussamy-Ashe,4
Walter Rosenblum,4
Luc-Albert Moreau,4
Wobbe Alkema,4
Theo H. Ballmer,4
Robert Flynt,4
Lin Tianmiao,4
Poul Henningsen,4
Aleksei Kravchenko,4
Jack Beal,4
George Ygfors,4
Kohei Yoshiyuki,4
Isami Doi,4
Sue Coe,4
"Westone Laboratories, Inc.",4
Harvey Tulcensky,4
Abbas Kiarostami,4
Aijiro Wakita,4
Rodolfo Bonetto,4
"The Yale & Towne Mfg. Co., Stamford, CT",4
"Paula Scher, John Paul Endress",4
John Atherton,4
"Neri Oxman, Massachusetts Institute of Technology, Cambridge, MA",4
Andrea Bowers,4
Enrico Donati,4
Hisao Domoto,4
Pierre Daura,4
Carlo Moretti,4
Ida O'Keeffe,4
Cecily Brown,4
Will Burtin,4
Norman Lewis,4
Lenore Tawney,4
Leander Fornas,4
Carla Liss,4
André Lhote,4
Werner Büttner,4
Andrew Lord,4
Tom Sherman,4
Michael Rodriguez,4
Bernard Shea Horne,4
Hans Coper,4
Sylvia Wald,4
Katharina Bosse,4
Stig Lindberg,4
Ringl + Pit,4
Jean Dewasne,4
Harold Elberg,4
Nono Reinhold,4
Zachary Wollard,4
Waldemar Swierzy,4
Valentine Hugo,4
Alexis Smith,4
Faurest Davis,4
Senzeni Marasela,4
"Wild Plakken, Lies Ros, Rob Schroder, Frank Beekers",4
Otto Nebel,4
Mac Adams,4
Eduardo Vilches,4
Ed E. Langbein,4
Enrique Montenegro,4
Marcia Resnick,4
Kirill Rozhdestvenskii,4
K.R.H. Sonderborg,4
Bill Burke,4
Robert Petschow,4
Scott King,4
Gerhard Altenbourg,4
Seydou Keïta,4
Léon Bakst,4
Emilio Ortiz,4
Bengt af Klintberg,4
Richard Neutra,4
Richards Ruben,4
Otto Soglow,4
Lucia Moholy,4
Barbara Norfleet,4
Don Hogan Charles/The New York Times,4
Marc Riboud,4
Eberhard Grames,4
Gary Stephen Brotmeyer,4
Dick Elffers,4
Hagiwara Hideo,4
Jeffrey Scales,4
Ulrich Rückriem,4
James Robertson,4
Félix Del Marle,4
D-L Alvarez,4
Otto Freundlich,4
Tomislav Gotovac,4
Wu Wenguang,4
György Sándor Ligeti,4
Haku Maki,4
Peter H. Buckley,4
Raqib Shaw,4
Robin Winters,4
Vladimir Tatlin,4
Magnus Plessen,4
Jonathan Meese,4
Julia Fish,4
Joyce Kozloff,4
Gordon House,4
Reginald Neal,4
"Leading Edge Design Corp., Shunji Yamanaka, Kinya Tagawa, Jun Homma",4
Charles Smith,4
Lourdes Portillo,4
Topical Press Agency,4
Gordon Holler,4
Lorenzo Homar,4
Norman McLaren,4
Peter Jackson,4
Marco Zanuso,4
Georg Scholz,4
Jean-Michel Folon,4
David Scher,4
Barbara Hammer,4
Verner Panton,4
Fairfield Porter,4
Benno Friedman,4
Bishin Jumonji,4
Hermann Eidenbenz,4
Donald Moffett,4
Gregory Conniff,4
Renzo Piano,4
Doug Dubois,4
Roy McMakin,4
Georg Schmid,4
Jirí Kolár,4
José María Sicilia,4
Roy Colmer,4
Sheila Metzner,4
Mamoru Sakagawa,4
Gene Hurwitt,4
Harold Barling Town,4
"Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT",4
"Stephen Brody, Dan Stoenescu",4
Seung H-Sang,4
Toni Onley,4
Sadao Watanabe,4
Maria Kipp,4
Walter Darby Bannard,4
Peter Hutchinson,4
John Latham,4
Nikolai Kupreianov,4
Tabaimo,4
Robin Rhode,4
Jerzy Czerniawski,4
Richard Janthur,4
Marian Mahler,4
John Duff,4
Kseniia Boguslavskaia,4
Tsugouharu Foujita,4
"Paul Nelson, Frantz Jourdain, Oscar Nitzchke",4
Edward Penfield,4
Julius Thiengen Bloch,4
David Bomberg,4
Gary Simmons,4
Paolo Boni,4
Gina Pane,4
Ron Davis,4
Emilio Vedova,4
"Marc Downie, Shelley Eshkar, Paul Kaiser, OpenEnded Group",4
Thomas Mukarobgwa,4
Guy Maddin,4
Takeshi Kawashima,4
"Juan Carlos Distéfano, Rubén Fontana, Carlos Soler",4
Paolo Carosone,4
José Guerrero,4
Adrian Wiszniewski,4
Richard P. (Sandy) Hume,4
George Tscherny,4
M. C. Escher,4
Heinrich Richter-Berlin,4
Zbigniew Makowski,4
Barbara Hepworth,4
Danh Vo,4
James McNeill Whistler,4
"George Brecht, Robert Watts",4
John Chick,4
"Sonic Youth, Raymond Pettibon",4
Hans Hillmann,4
Pudlo Pudlat,4
Charlotte Posenenske,4
Ted Stamm,4
"Maurice Loewy, Pierre Henri Puiseux",4
Ewan Gibbs,4
Robert Gage,4
Joel Sanders,4
Inagaki Tomoo,4
Jean Mohler,4
Pierre Mercure,4
Wallace Berman,4
Julius K. Friedman,4
Regina Silveira,4
"Cristobal Palma, Pezo von Ellrichshausen",4
Ed Emshwiller,4
Rafael Tufiño,4
Neil Winokur,4
John Newman,4
Caroline Durieux,4
Andrea Büttner,4
Terry Fox,4
Werner Aisslinger,4
Chaim Soutine,4
David Lance Goines,4
Claude Parent,4
John Mansbridge,4
"David Bowie, Mick Rock",4
Philippe Apeloig,4
Joshua Marston,4
Michael Hurson,4
Linda Connor,4
Yousuf Karsh,4
"Sharon Johnston, Mark Lee",4
Carole Seborovski,4
Camille Bernabé,4
Will Insley,4
Gedi Sibony,4
William R. Current,4
John Clem Clarke,4
Johannes Potente,4
Bruce Chandler,4
Edmund Kesting,3
Thomas Hamilton,3
Frank Moore,3
Ernest Knee,3
Marguerite Wildenhain,3
Connor Everts,3
Susumu Higuchi,3
Michael Cohen,3
Guillermo Nuñez,3
Peter Birkhauser,3
Genpei Akasegawa,3
"Terry Fox, Harry Shunk, János Kender",3
"Natalia Goncharova, Mikhail Larionov",3
Michael Craig-Martin,3
Frank Borzage,3
Manuel Angeles Ortiz,3
Edward Higgins,3
Frida Kahlo,3
Santiago Cárdenas,3
Keith Haring,3
Eberhard Eggers,3
Southworth and Hawes,3
Italo Scanga,3
Clint Eastwood,3
"Eimer & Amend, New York, NY",3
Rivane Neuenschwander,3
Sandra Gamarra,3
Jacques Hérold,3
Judd Apatow,3
Michael Venezia,3
Étienne-Jules Marey,3
Jan van Toorn,3
Stanislav Wojtowicz,3
Mary Cassatt,3
Paul (Pavel Mansurov) Mansouroff,3
Gianfranco Frattini,3
Shizuko Muller-Yoshikawa,3
Mindy Faber,3
"Robert Filliou, Scott Hyde",3
Jake Tilson,3
Isaac Julien,3
Darren Aronofsky,3
Jon Widman,3
Richard Dupont,3
Aleksei Gan (Hahn),3
Victor Servranckx,3
"Massimo Vignelli, Bob Noorda",3
Frederick George Cooper,3
Eduardo Costa,3
Franz Gertsch,3
Luigi Caccia Dominioni,3
Jennifer Pastor,3
Riko Debenjak,3
Pieter Holstein,3
Paul Thompson,3
Sang-ok Shin,3
Dennis Farber,3
Farrell Grehan,3
Gifford Beal,3
Paul Sérusier,3
Serge Oldenbourg,3
David Budd,3
Rackstraw Downes,3
Ana Maria Moncalvo,3
Jean Gabriel Daragnès,3
Ken Grant,3
Dean Pollock,3
Mircea Cantor,3
Studio,3
Milton Resnick,3
Teo González,3
Sergei Makletsov,3
"Louise Lawler, Antonio DiSpigna",3
Achille Perilli,3
Tobias Frere-Jones,3
Tony Bevan,3
Susana Solano,3
Françoise Gilot,3
Shin Matsunaga,3
Kyo Ikebe,3
Carl Bernhard Graf,3
Carl Fredrik Reuterswärd,3
Luis Martínez Pedro,3
William Roberts,3
John Pemberton,3
Judy Pfaff,3
Vuokko Eskolin,3
"Lance Wyman, Eduardo Terrazas, Unknown Designer",3
Karl Jacob Hirsch,3
Osamu Shiihara,3
Chaim Gross,3
Alfred Eisenstaedt,3
Katy Schimert,3
Stow Wengenroth,3
Peter Brown,3
Galo Galecio,3
Anne Marie Fishbein,3
Masaji Yoshida,3
"Susana Soares, Design Interactions Department, Royal College of Art",3
Eberhard Havekost,3
Jimmie Durham,3
"Martin Kippenberger, Werner Büttner, Albert Oehlen",3
Akira Kurosaki,3
"Jay Silver, Eric Rosenbaum",3
Terry Adkins,3
Friedrich Feigl,3
Hazel Kingsbury,3
Nancy Holt,3
Henry F. Swift,3
"Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad, Lance Wyman, Beatrice Trueblood, Huberto Batis, Eduardo Terrazas",3
"Clarence H. White, Alfred Stieglitz",3
Lygia Pape,3
"Hani Rashid, Lise Anne Couture, Christian Richters",3
Lorie Novak,3
Helmut Federle,3
Karl Koepping,3
Antoine Prinner,3
Walther Teutsch,3
Robert del Naja,3
Eryk Lipinski,3
Elisabeth Hase,3
J. Thomas Zetterstrom,3
Sipke Huismans,3
"Demakersvan, Judith de Graauw",3
Milos Forman,3
Yarom Vardimon,3
Robert A. Nelson,3
Julio Castellanos,3
"John Hubley, Faith Hubley",3
Balcomb Greene,3
"Ergonomi Design Gruppen (now Veryday), Maria Benktzon, Håkan Bergkvist, Sven-Eric Juhlin",3
Grant Wood,3
Erwin Blumenfeld,3
Byron Browne,3
Kevin Beasley,3
Michael McLoughlin,3
Anonymouse,3
Kenneth Martin,3
Fidelio Ponce De León,3
David V. Hayes,3
John Barnard,3
Ursula von Rydingsvard,3
Elsa Schmid,3
Juan Gómez-Quiroz,3
Francesco Cangiullo,3
Henri-Edmond Cross,3
Scott McFarland,3
Sam Falk/The New York Times,3
Max Huber,3
"Mazda Motor Corporation, California",3
Arthur Schmidt,3
Joyce Pensato,3
Agatha Wojciechowsky,3
Rick Dingus,3
Robyn Denny,3
Kenneth Armitage,3
Lee Etheredge IV,3
"Prefecture of Police, Paris",3
Paul Feeley,3
Raymond Parker,3
Diane Lewis,3
Valerio Adami,3
Ulli Maier,3
Morris Blackburn,3
Kenneth Capps,3
Yoshio Hayakawa,3
Robert A. M. Stern,3
Otto Prutscher,3
Fred Korth,3
Hiroshi Hamaya,3
Ferdinand Kriwet,3
Werner Jeker,3
Katsuro Yoshida,3
Jeffrey Wolin,3
"Gabriele Basilico, Munio Gitai Weinraub",3
Jeanne Dunning,3
John Adams,3
"Foo Fighters, Raymond Pettibon",3
Joshua Neustein,3
José Ygnacio Bermudez,3
Antonio López García,3
Kirstine Roepstorff,3
Peter Hutton,3
Lisl Ponger,3
Elizabeth Simonson,3
Steffani Jemison,3
Fayga Ostrower,3
Olivier Mosset,3
Sidney Goodman,3
Alfredo Rostgaard,3
Octave Landuyt,3
Jasper Morrison,3
René Robert Bouché,3
Charles I. Berg,3
Brown Brothers,3
Gertrude Greene,3
Justen Ladda,3
Vadym Meller,3
Dziga Vertov,3
Neo Rauch,3
Josephine Pryde,3
Roman Opalka,3
Ivo Pannaggi,3
Kelly Reichardt,3
Zacharias Kunuk,3
Sheldon Machlin,3
"Louise Bourgeois, unpublished",3
Louis Silverstein,3
"Mario Gandelsonas, Marta Minujín",3
Johan Bernhard Schweitz,3
June Redfern,3
Arthur Segal,3
Robert Graham,3
"G. Schleicher, Konstanty Gutschow",3
Don Brown,3
Alain de La Bourdonnaye,3
Jan Hashey,3
Heinz Trökes,3
Suzanne R. Dworsky,3
Fred Stein,3
Corrado Cagli,3
Massimo Scolari,3
Edward Corbett,3
John Pearson,3
James Bartlett Rich,3
Rainer Fetting,3
Jack Welpott,3
Frank Hazenplug,3
Eugène Grasset,3
Krzysztof Zanussi,3
Walter Silver,3
Katharina Wulff,3
Mihajlo Arsovski,3
United Press International,3
Otto Treumann,3
"Paul Budnitz, Tristan Eaton",3
Werner Herzog,3
Hiroe Saeki,3
Harry Sternberg,3
Sarah Charlesworth,3
Maxi Cohen,3
Camille Henrot,3
Sue de Beer,3
Andres Serrano,3
Stan Douglas,3
Philippe Perrot,3
Lex Reitsma,3
Kanamori Yoshio,3
Jorge Macchi,3
George Ault,3
Nell Dorr,3
Chester Eisenhuth,3
Eduardo Salvatore,3
José Yalenti,3
Fumio Kitaoka,3
Aaron Johnson,3
Lawrence Kupferman,3
Jarrod Beck,3
"Thom Mayne, Andrew Zago",3
Claude Flight,3
Jean-Michel Atlan,3
John Banting,3
Wojciech Fangor,3
Colleen Frances Kenyon,3
Aubrey Beardsley,3
Orly Genger,3
Douglas Prince,3
David Lewis,3
Bill Beckley,3
Stephen Vitiello,3
Fukuhara Roso,3
Rachel Selekman,3
Le Jeune,3
Gernot Bubenik,3
John Ferren,3
Tam Van Tran,3
Murray Zimiles,3
N. Jay Jaffee,3
Henryk Stazewski,3
Fred Hansen/Pacific and Atlantic Photos,3
Ester Partegàs,3
Vibeke Tandberg,3
Nasreen Mohamedi,3
François Arnal,3
Kristian Vedel,3
James Anderson,3
Pietro Consagra,3
Lothar Schreyer,3
Stephen Scheer,3
Thierry Kuntzel,3
Jan Menses,3
Ed van Der Elsken,3
Reinhoud (Reinhoud D'haese),3
Bernd Ribbeck,3
Arnold von Borsig,3
Mikhail Matiushin,3
Issey Miyake,3
Richard Haas,3
Adolph Treidler,3
Deirdre Burnett,3
Gotthard Graubner,3
Lyn Gardiner,3
Larry Poons,3
Pauline Oliveros,3
Donald Urquhart,3
Doris Salcedo,3
Christoph Ruckhäberle,3
"Julius Shulman, Teodoro González de León",3
Dominique Gonzalez-Foerster,3
Sergej Jensen,3
John Edward Devine,3
Ushio Shinohara,3
Hans Heinrich Palitzsch,3
"Smart Design, New York",3
Ellen Berkenblit,3
Melendreras,3
Ralph Samuels,3
Abigail Perlmutter,3
John Rieben,3
Imre Kinszki,3
Carl Buchheister,3
Eddie Hausner/The New York Times,3
Mary Frank,3
Kawanishi Hide,3
Allen Ginsberg,3
Josef Scharl,3
"André Giraud & Brousseau, Limoges, France",3
"Sam Hecht, David Sandbach, Chris Chapman",3
Arnold Bittleman,3
Pacific & Atlantic Photos,3
"Anne-Marie Miéville, Jean-Luc Godard",3
Claudy Jongstra,3
Nedo Mion Ferrario,3
Jack Tworkov,3
Paul Burlin,3
Alexander Kanoldt,3
Carroll Cloar,3
Elena del Rivero,3
"Blenko Glass Co., Inc., Milton, WV",3
Ginny Bishton,3
Titus Kaphar,3
"Luigi Caccia Dominioni, Pier Giacomo Castiglioni",3
Edouard-Léon-Louis Edy-Legrand,3
"Gross Wood, Esther Wood",3
Cameron Platter,3
Jerszy Seymour,3
David Rowland,3
"Ana Mendieta, Ana Mendieta, Carl Andre",3
Siegfried Anzinger,3
Cleve Gray,3
Dominik Steiger,3
Robert MacBryde,3
Roger Minick,3
James L. Wells,3
Shay Alkalay,3
Angelo Testa,3
"Kram/Weisshaar, Clemens Weisshaar, Reed Kram, Christoph Weisshaar",3
Evgenii Nekrasov,3
Friedrich Seidenstücker,3
Luis Cruz Azaceta,3
Joong Seop Lee,3
Paul Nash,3
Lynne Sachs,3
Jean Nouvel,3
Louis De Clercq,3
G. Ray Kerciu,3
Kim Young Jin,3
Lisa Oppenheim,3
Tony DeLap,3
Marc Forster,3
Herman Seidl,3
Alfred Roller,3
Rudolf Eickemeyer Jr.,3
Heidi Bucher,3
Carybé (Hector Bernabó),3
Donia Nachshen,3
Louise Campbell,3
William Stephen Sutton,3
Kenneth Brozen,3
Fritz Koenig,3
Emile Branchard,3
Orrin Wightman,3
Frederic Lieberman,3
Chris Hendrik Beekman,3
Sonia Sekula,3
Jo Ann Callis,3
Emile Bondonneau,3
Lee Ufan,3
Medardo Rosso,3
Robert Riggs,3
Anna Ostoya,3
The Haters,3
Heinrich Nauen,3
Tom Otterness,3
Patricia Johanson,3
Jacques Villeglé,3
Stephen Greene,3
William Bailey,3
Mary Rogers,3
Roberto Sambonet,3
Edward W. Quigley,3
Walther Klemm,3
Toba Tucker,3
"Hisao Suzuki, RCR Arquitectes, Olot",3
Emma Gismondi Schweinberger,3
Edwin Dickinson,3
Merce Cunningham,3
Ralph Schraivogel,3
Raymond Duchamp-Villon,3
Fritz Wotruba,3
The New York Times Studio,3
Annette Lemieux,3
Auguste Pèquègnot,3
Russell Crotty,3
Curt Richter,3
Kirsten Everberg,3
William Pope.L,3
Dennis Kardon,3
Gloria della Vittoria,3
Emile Gallé,3
Quay Brothers,3
Anton Lavinskii,3
"Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown",3
"Asymptote Architecture, New York, Hani Rashid, Lise Anne Couture",3
Kuron - Gogol,3
Olympe Aguado de las Marismas,3
Chas Laborde (Charles Laborde),3
Bart Boumans,3
"Claus Bonderup, Torsten Thorup",3
"CADA (Colectivo Acciones de Arte), Raúl Zurita, Fernando Balcells, Diamela Eltit, Lotty Rosenfeld, Juan Castillo",3
Charles Addams,3
Joseph Bellanca,3
Hans Purrmann,3
Angel Bracho,3
Jeff Berner,3
Louis Sullivan,3
Horace Bristol,3
Leonardo Cremonini,3
Lucia Radochonska,3
Braco Dimitrijević,3
Thomas F. Barrow,3
William K. Greiner,3
Max Walter Svanberg,3
Theo Wujcik,3
Nikolai Sokolov,3
Iurii Annenkov,3
Claude Closky,3
Michael Steiner,3
Lesley Dill,3
Blythe Bohnen,3
Sarah Morris,3
Jörg Schlick,3
Richard Aldrich,3
"Kenji Ekuan, GK Design Group",3
Uwe Lausen,3
Aurel Bauh,3
Dana Schutz,3
Gerard Garouste,3
Judy Dater,3
"Arabia, Wärtsilä Ab, Helsinki, Finland",3
Randall Sellers,3
Demetrio Urruchúa,3
Othon Friesz,3
Oscar Tenreiro Degwitz,3
Marc Bauer,3
Mauricio Nannucci,3
Edgar Arceneaux,3
"Jacques Louis Nyst, Danièle Nyst",3
Gaspar Gasparian,3
"Corning Glass Works, Corning, NY",3
David Opdyke,3
Jean Marchand,3
Kumi Machida,3
Henri-Gustave Jossot,3
Marcia Hafif,3
Franck,3
Cyril Edward Power,3
Sven Markelius,3
Jene Highstein,3
Walter William Barker,3
Iman Issa,3
Yamaguchi Gen,3
Alberto Meda,3
Johan Niegeman,3
Christian Schad,3
William Lescaze,3
Sante Graziani,3
André Fougeron,3
Rudolf Kügler,3
Audrey Flack,3
IBM Corporation,3
"Bob Pellegrini, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad",3
Lucy Raven,3
"Augusto, Robert Capa",3
Lennart Olson,3
"David Palladini, Department of Publications and Urban Design, Organizing Committee of the XIX Olympiad",3
Ken Lum,3
Sterling Ruby,3
Solomon D. Butcher,3
"Los Carpinteros, Alexandre Arrechea, Dagoberto Rodriguez, Marco Castillo",3
"Lalance & Grosjean Mfg. Co., Woodhaven, NY",3
Julia Loktev,3
William Preston Mayfield,3
Koji Yamada,3
Jim Jarmusch,3
Richard Schultz,3
"J.A. Henckels, Solingen, Germany",3
Julian Hoeber,3
Janine Antoni,3
Eva Watson-Schütze,3
Edward Moulthrop,3
Karl Struss,3
"Twan Verdonck, Neo Human Toys",3
"Charles Atlas, Merce Cunningham",3
Heinz Schulz-Neudamm,3
Francisco Matto,3
Guido Molinari,3
Ung-no Lee,3
Gerd Winner,3
Adrián Villar Rojas,3
Barbara Chase-Riboud,3
"Michael P. Bosniak, Howard York",3
George Morris,3
George Zimbel,3
"Nybro, Sweden",3
Mark Klett,3
Nikos HadjiKyriakos-Ghika,3
Akesuk Tudlik,3
"Aleksei Kruchenykh, Kirill Zdanevich",3
Doug Rickard,3
Kenneth J. Botto,3
"Ethan Coen, Joel Coen",3
Mitsuo Kano,3
Peter Dean,3
"Swatch AG, Switzerland",3
Tristan Tzara,3
Emilio Pettoruti,3
Richard Oelze,3
Jean-Charles Blais,3
Ralf Ziervogel,3
Anri Sala,3
Uta Barth,3
Björn Dahlem,3
Christopher Nolan,3
"Los Carpinteros, Marco Castillo, Dagoberto Rodriguez",3
Toyo Ito,3
Tony Labat,3
Jackie Winsor,3
Bjarne Melgaard,3
John Massey,3
Raymond Jonson,3
Henri Tronquoy,3
"Robert Barry, Harry Shunk, János Kender",3
Pierrette Bloch,3
Lida Moser,3
Takehito Koganezawa,3
Caio Fonseca,3
Karen Kilimnik,3
Paul Gavarni,3
Jonathan Herder,3
"Bob Schnepf, Thomas Weir",3
Jim Isermann,3
Nancy Rexroth,3
Colin Campbell,3
Ronnie Landfield,3
Elise (Elise Seeds Armitage),3
"Rem Koolhaas, Madelon Vriesendorp",3
Yto Barrada,3
Felipe Ehrenberg,3
Adol'f Strakhov,3
Gustav Schenk,3
Leopoldo and Guiseppe Alinari,3
Rei Naito,3
John Shaw,3
Jakub Szczęsny,3
"Aranda/Lasch, Benjamin Aranda, Chris Lasch, Terrol Dew Johnson",3
"Alfred Jarry, Alfred Jarry, Pierre Bonnard",3
Yves Béhar,3
Trevor Winkfield,3
Christopher Bucklow,3
Hakuyo Fuchigami,3
Peter Stackpole,3
Sven Palmqvist,3
Patrick Faigenbaum,3
Martin Munkácsi,3
Juan Parrilla,3
Anna Ticho,3
Manfred Bingler,3
Alek Januszewski,3
Ossip Zadkine,3
Peter Klasen,3
Frederick Edward McWilliam,3
Sam Durant,3
"Plastic Ono Band, Yoko Ono, John Lennon",3
Gary Stephan,3
Héctor García,3
Sylvano Bussotti,3
Hans Hartmann,3
Rudolf Belling,3
Residents,3
Fritz Bühler,3
Ezio Gribaudo,3
"Charles Eames, Eero Saarinen, Marli Ehrman",3
James Valentine,3
Robert Breer,3
April Gornik,3
Donald Brun,3
Paul Kelpe,3
Ingmar Bergman,3
Kurt Kauper,3
Toyen (Marie Cerminová),3
Alan Sonfist,3
Vasilii Kamenskii,3
Chris Hammerlein,3
Jonathan Hammer,3
Teddy Cruz,3
Paul Seligman,3
Giancarlo Mazzanti,3
William Grigsby,3
Robert Stanley,3
Nicholas Ház,3
"Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand",3
"Josef Albers, Charles E. Murphy, Command Records",3
Francesco Somaini,3
Maria Serebriakova,3
Wolf von dem Bussche,3
Bea Maddock,3
Robert Altman,3
Matt Greene,3
Camille Pissarro,3
Ian Cheng,3
Sawada Tetsuro,3
Carlos Cruz-Diez,3
Jess,3
John Shaw Smith,3
Harry Disberg,3
Roél d'Haese,3
Keystone View Company,3
J.D. 'Okhai Ojeikere,3
"Edwin Middleton, T. Hayes Hunter",3
Luis Quintanilla,3
Laurence Humier,3
Jane Dickson,3
Clinton Hill,3
Keigo Yamamoto,3
"Bernhard Blume, Anna Blume",3
Jim Finn,3
Norman Ackroyd,3
Oswald Oberhuber,3
"Jennifer Allora, Guillermo Calzadilla",3
Anne W. Brigman,3
Dannielle Tegeder,3
Benjamin Kopman,3
Toots Zynsky,3
Lurelle Guild,3
Vera Lisková,3
Pavel Büchler,3
Edward Gordon Craig,3
Bernhard Heiliger,3
Jean Cortot,3
Jean-Louis Boussingault,3
Valentina Kulagina-Klutsis,3
Clifford and Rosemary Ellis,3
Rabih Mroué,3
"Emilio Ambasz, Giancarlo Piretti",3
Serge Chermayeff,3
Prentiss Taylor,3
Yves Gaucher,3
Alexander Alland,3
William K. Howard,3
"Superstudio, Cristiano Toraldo di Francia, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini",3
Cristos Gianakos,3
Jim Drain,3
Hong Lei,3
Ruth Bernhard,3
Rainer (Imi) Giese,3
Norma G. Morgan,3
Seneca Glass Co.,3
Walter Rogalski,3
James Bishop,3
Martin Wong,3
Catherine Murphy,3
"Diller + Scofidio, Elizabeth Diller, Ricardo Scofidio",3
Eugene Richards,3
Keegan McHargue,3
Jason Crum,3
Paul Noble,3
James Biederman,3
Juan Araujo,3
Roger Mayne,3
Jack Manning,3
"Kelley Walker, Wade Guyton, Guyton\Walker",3
Andrew Noren,3
Jack Knox,3
Sarah Crowner,3
Josef von Sternberg,3
Stephan Van Dam,3
Markus Kayser,3
Theodor Bogler,3
Alicia Orlandi,3
N. Krishna Reddy,3
Chin Hsiao,3
Jacob Jongert,3
Antonio Martorell,3
Deborah Turbeville,3
W. Grancel Fitz,3
Mercer,3
Philip Taaffe,3
Jean-Louis Forain,3
E. Durand,3
Walter Dorwin Teague,3
William Maguire,3
"Zhang Yuan, Chi Jian",3
"David Bowie, Julien Temple",3
Paolo Gasparini,3
Rob Voerman,3
Giuseppe Santomaso,3
Amédée Ozenfant,3
Winka Dubbeldam,3
"Wolf D. Prix, Helmut Swiczinsky",3
"Alexander Gardner, Pywell",3
Gianni Dessi,3
Lars Tunbjörk,3
Sonia Lewitzka,3
Mitch Epstein,3
Paul Shaw,3
Jun'ichiro Sekino,3
Finn Juhl,3
Farkas Molnár,3
Lawrence Abu Hamdan,3
Georges de Feure,3
"Aluminum Company of America, Pittsburgh, Pennsylvania",3
David Trowbridge,3
Maria Brunner,3
Ulfert Wilke,3
"LSI Logic Corporation, Milpitas, CA",3
"Peter Moore, Benjamin Patterson",3
Don Wallance,3
Dimitri Petrovich Plavinsky,3
Johannes Wohnseifer,3
Paola Ferrario,3
Joan Hernández Pijuan,3
Clyfford Still,3
Giancarlo Piretti,3
Moritz Waldemeyer,3
