Medium,Values
49 photolithographs,1
Oil on bronze and wood,1
Felt-tip pen and charcoal on paper,1
"16mm film (black and white and color, silent and sound)",1
"Portfolio of six linoleum cuts with watercolor and gouache additions, one with oil additions and one linoleum cut title page with watercolor and gouache additions",1
"Etching and engraving, printed in green",1
Felt-tip pen on lined paper,1
"35mm film transferred to video (color, sound), polycaprolactone thermoplastic, aquaplast, and self-lubricating plastic. 145 min.",1
"Illustrated book with thirty-three etchings and aquatints, and one lithograph",1
Silver and teak,1
"Stuffed parrot on wood perch, stuffed silk stocking with velvet garter and doll's paper shoe suspended in hollow wood frame, derby hat, hanging cork ball, celluloid fish, and engraved map",1
"Assemblage of printed paper, gelatin silver print, lace, paperboard, ink, and gouache on painted paperboard",1
34 photolithographic reproductions after pen and ink drawings (tipped in) and 3 relief halftone reproductions of photographs,1
"14 lithographs, 11 aquatints and 2 oil drawings",1
"Plastic box with offset label, containing sand and objects in various media",1
"Synthetic polymer paint, ink, watercolor, pencil, and colored pencil on paper",1
"Crayon, pencil,and ink on paper",1
Enamel and charcoal on canvas,1
"Pebbles, sand, and plastic paste on composition board",1
Castor oil from a portfolio of 76 mixed media stains,1
"Carbon-fiber reinforced-plastic, magnesium-alloy, ABS polymer, and other materials",1
Archive of printed ephemera,1
Glazed aluminum,1
Illustrated book with twenty-eight etchings,1
"Transfer lithograph
",1
Ebonized oak and rush seat,1
Photograph on Baryta paper,1
Construction of wood and metal,1
"Laminated thermal transfer print, on two sheets
",1
"Offset envelope, containing sixteen offset cards",1
"Etching, etching and aquatint, with chine collé Kitakata",1
"Eight lithographs, printed in black and in color",1
Lithographic crayon on transfer paper,1
Various spices in twelve glass jars with tape labels handwritten by Maciunas,1
"Line-block reproduction (duplicate of title vignette) on front cover from an illustrated book with nine line-block reproductions after woodcuts, one line-block reproduction after woodcut title vignette, and one line-block reproduction (duplicate of title vignette) on front cover",1
Iron with wood and painted steel base,1
"Synthetic polymer paint, felt-tip pen, spray paint, and pencil on canvas stapled to board",1
"Cut-and-pasted printed paper, charcoal, pencil, and oil pastel on cut-and-pasted paper",1
"Wood engraving and pochoir, printed in color",1
"Polyethylene film, wooden handle, and metal frame",1
Metal sign on wood post,1
"Ink and gold leaf on paper from illustrated book with cover, scorched fabric, and ink and gold leaf on paper",1
Portfolio of six woodcut and linoleum cuts with collage,1
"Cut-and-pasted printed paper, doily, and gel-ink pen on gelatin silver print",1
"Screenprinted with lacquer ink, and lacquer finish",1
Periodical with six woodcuts (one on cover) by Conrad Felixmüller,1
20 photolithographic reproductions after etchings,1
"Steel, concrete, brass, feather, shell, and found metal",1
"Casein, dry pigment, vinyl paint, casein emulsion, color pencil, charcoal, carbon pencil, and ink on rosewood, birch, ash, and mahogany, three panels and one inset",1
"Set of seventeen cut-and-pasted printed paper (seven with transfer type, one with ink, one with cut-and-pasted gelatin silver print and transfer type with ink additions, and five with transfer type and ink additions) on paper, one transfer type and ink on paper, and one postcard with transfer type and ink",1
Color contact print,1
Vertical blinds,1
.a Lithograph with pastel additions .b Photograph,1
"Portfolio of 7 drypoints, printed in black",1
"Performance, drawing, and notebook",1
Pencil and ink on printed paper,1
Five color and four black and white instant prints (Polacolor and Polapan),1
57 pigmented inkjet prints,1
"Oil on black paper
",1
"Etched title page from a portfolio of seven etchings, three etching and aquatints with chine collé and etched title page",1
Glass and chrome-plated brass rods,1
Offset lithography and plastic,1
Human hair and fingernail on handmade paper,1
Four offset lithographs,1
Illustrated book with six lithographs and twelve etchings,1
Ink jet and synthetic polymer paint on canvas,1
(etching),1
"Oil and newspaper on canvas, two panels",1
Embossing and yarn,1
Form-blown glass,1
Portfolio of five woodcuts,1
"Linoleum cut title page with watercolor and gouache additions from a portfolio of six linoleum cuts with watercolor and gouache additions, one with oil additions",1
"Chrome-plated steel, foam, and synthetic wool",1
"Performance, props, and algorithmic trading strategy",1
Artist's book with chromogenic color prints and text,1
"Illustrated book with one aquatint, drypoint, and mezzotint, one etching, aquatint, and mezzotint, and one drypoint",1
Oil on wood mounted on plywood,1
"Floral foam, bees' wax, encaustic, pigment, quartz, studs, tape, foam, charcoal on paper, metal, wood, glass, and dry wall",1
Multiple of plastic box containing 22 offset cards from a multiple containing 31 objects in various media,1
Plaster and painted wood,1
"Glass, wood, and metal display case containing (left to right): Monuments/4 Chocolate Detonations (Monumente/4 Schokoladensprengungen), c. 1964: chocolate; Untitled, 1962: dried meat, paint, and chocolate; Untitled, 1977: slate; Rose for Direct Democracy (Rose für direkte Demokratie), 1973: rose and graduated cylinder; Untitled, 1964: wood board, oil paint, laundry line, clothes pins, wax toenail, hair, fat, felt, tin can cover, tar, and iron weight; Untitled, c. 1963, metal rod and wax; Action German Student Party (Aktion Deutsche Studentenpartei), 1968: paper, printed paper, glass jar, rosemary, and essential oils, in three parts; Neck (Hals), 1981: stem of a plant and glass bottle",1
Illustrated book with seven etchings and one etching and engraving,1
Offset lithograph with collage addition,1
"Title and colophon page, from a portfolio of ten lithographs",1
Portfolio of four digital prints on mylar,1
Series of forty-eight photogravures,1
Typewriting on six pieces of paper,1
Screenprint on folded brown Kraft paper housed in brown Kraft paper envelope screenprinted with artist's standard mailing form and collaged documentation label,1
"Lithographed collage, printed in color",1
"Woodcut, printed in black with collage",1
"Acrylic, wood, metal, paper, synthetic polymer paint, sand and stone",1
One from a series of thirty-one digital prints (text),1
Twenty five lithographs,1
"Periodical with three woodcuts and one linoleum cut; cover by Hans Richter, additional prints by Josef Capek, Wilhelm Schuler, and Hilla Rebay von Ehrenwiesen",1
Illustrated book with eight lithographs and supplemental suite of eight lithographs,1
"Felt-tip pen, pencil and chalk on six pieces of notebook paper",1
Portfolio of eight linoleum cuts,1
"Wood, metal, felt, and glass",1
27 offset books,1
"21 etching and aquatints (including cover), some with lift ground aquatint or drypoint: 8 printed in black and 13 printed in color",1
"Envelope with stamped ink, containing Direction label and 16 name cards",1
Acrylic and chrome-plated metal hardware,1
Acrylic and wood,1
"Plumber's hanger iron, galvanized wire cloth, screening, with various ornaments",1
Gelatin silver prints with applied color,1
Borosilicate glass and cork,1
Cut-and-pasted colored and printed papers and fabric mounted on cardstock,1
Enameled metal and marble,1
"16 lithographed illustrations, 3 letterpress illustrations, and 2 etched illustrations",1
Five woodcuts,1
"Lithograph, drypoint and etching",1
"Exhibition catalogue with 3 line block reproductions after ink drawings executed for this catalogue (including 1 repeated in reverse); relief halftone reproductions of paintings, drawings, and prints; and front flyleaf and half title page embellished by the artist in 1946 with ink drawings",1
Cut-and-pasted printed papers on gelatin silver photograph mounted on board,1
"Chrome-plated tubular steel, contour cushion, and rubber straps",1
Multiple of screenprinted T-shirt in plastic toy package,1
Illustrated book with 32 photolithographic reproductions after drawings,1
Ink and cut-and-pasted photographic reproductions,1
Graphite and crayon with scoring on paper,1
"Lithograph, printed in black and colored by hand with watercolor",1
Maquette of Bulletin no. 43 using folded copy of Bulletin no. 15,1
Plastic-coated wire and rod frame and tweed upholstery over foam-rubber padding,1
Synthetic polymer paint and colored pencil on canvas,1
"Synthetic polymer paint on canvas and wood, three parts",1
"6 lithographs, offset printed",1
".a: Pencil, pen and ink, and cut-and-pasted printed paper
.b: Ink and cut-and-pasted printed",1
Business card,1
Metal rod frame and marble top,1
"Metal, paper, and “artist’s shit”",1
Ballpoint pen on printed paper mounted to foam core,1
"Plastic binder with typewritten letter, eight photostats, two offset newspaper clippings, two letterpress newspaper clippings, and one letterpress periodical clipping",1
"Lithograph, printed in black with collage",1
9 chromogenic color prints,1
Ink on synthetic polymer sheet with synthetic polymer paint and felt-tip pen on paper,1
"Evening gown, prosthetic plastic locker, leather punching pads, speculums, and salt water pearls",1
"Plastic box with offset label, containing two offset cards",1
Photograph negative,1
"Cut-and-pasted printed and painted paper with ink, pencil, and pressure-sensitive tape on paper",1
"Ink, graphite, and tape on photocopied page",1
".1: Walnut and birch plywood 
.2: Birch plywood
",1
"Illustrated book with twenty-eight graphite rubbings, fourteen with screenprint additions",1
Illustrated book with pop-up additions,1
Encaustic on canvas mounted on type plate,1
"5 etchings, printed in black",1
8 woodcuts (1 with collagraph) and 2 stencils (1 over gouache),1
"Oak, acrylic and epoxy resin
",1
"Ink on paper, felt, adhesive-backed circuits, and copper tape",1
Screenprint (with punched holes) from a portfolio of 9 screenprints (1 with die-cut and 1 with punched holes); 6 lithographs (1 with embossing); and 1 soft ground etching,1
"Felt-tip pen, crayon, and pencil on paper",1
"Cut-and-pasted printed paper and cut-and-pasted colored paper with synthetic polymer paint, spray paint, and glue on printed paper in artist's frame",1
"40 collotype or line block reproductions after unpublished drawings by Pierre Bonnard, Boris, Bottini, Marc Chagall, Delcourt, André Derain, Kees Van Dongen, Raoul Dufy, Henri Epstein, Othon Friesz, Pierre Laprade, Marie Laurencin, Maximilien Luce, Henri- Charles Manguin, Albert Marquet, Luc-Albert Moreau, Pablo Picasso, Maurice Utrillo, Suzanne Valadon, and Maurice de Vlaminck",1
Portfolio of five etchings with collage additions,1
"Solid aluminum and plastic, six units",1
"Assemblage of printed paper, gelatin silver print, paperboard, ink, colored pencil, and gouache on cardboard",1
"Oilstick, pencil, and linseed oil on paper",1
"Illustrated book with 1 transfer lithograph (""The Saltimbanques""; frontispiece)",1
"Badge from a boxed set with drawing, artist's book, catalogue, scarf, badge and canvas bag",1
"Aquatint, printed in black and color",1
"Oil transfer drawing, watercolor and ink on paper with watercolor and ink borders on board",1
Book with one relief halftone reproduction after drawing by Kasimir Malevich (front cover) and one line block reproduction after drawing by David Burliuk (back cover),1
Oil and gouache on board,1
"Drypoint and etching from an illustrated book with three drypoints, two with etching",1
"Illustrated book of eighteen woodcuts, twelve with die-cut, with photomechanical text",1
Portfolio of 26 offset lithographs,1
"Antique-style glass with luster, enamel, and stained black pigments, float glass, agates, and powder-coated steel",1
Oil on three pieces of paper,1
Oil on unstretched linen,1
Pencil and tape on two sheets of torn colored paper,1
Illustrated book with two transfer lithographs,1
"Letterpress card, folded and pasted",1
"Glass, iron, and leather",1
"Ink, pencil, felt-tip pen, watercolor, colored pencil, and collage on paper in notebook",1
Bound telephone book,1
"Steel frame, polyolefin envelope, polypropylene, polyamide and ABS plastic components, photovoltaics",1
"Lithograph, printed in color, with 3 unattached cut-out etchings, printed in color on buff paper",1
Diazotype and felt-tip pen on board,1
Cover with letterpress lettering on front; letterpress text includes 2 lettered designs,1
"Lithograph, with black crayon additions",1
"Correction fluid, varnish, pencil, and ink on graph paper",1
Cellulosa acetate and nickle-plated steel,1
Three stacks of photolithographs,1
"Aquatint, lift ground aquatint, etching, drypoint, and engraving with roulette, printed in color",1
Relief etching with collage additions,1
"Periodical with reproduction on cover and four woodcuts by Georg Tappert, Marie Rosalie (Mitzi) Friedmann-Otten, Erich Gehre, and Ines Wetzel",1
Felt-tip pen on torn colored paper,1
Color pencil on print,1
"Plastic bag, containing 27 offset cards",1
"a. Pencil on paper, b. Pencil and ink on paper",1
"Plastic box with offset label, containing offset envelope, 97 cards, and ""Nutbone""",1
"Cut-and-pasted colored paper on colored paper
",1
"Carbon paper transfer, watercolor, oil, and pencil on paper",1
Watercolor and india ink on paper,1
Lithographic crayon and gouache on paper,1
"Pasted colored and printed papers, cloth, and string on paper",1
Stainless steel and nylon monofilament,1
"Steel rod and wire, wood, rattan, and leather",1
"Oilstick, pastel, graphite,and charcoal on plastic sheet",1
Polyethylene fabric and plastic rods,1
".1: Plastic-honeycomb core and mahogany-laminated-plywood skin      
.2: Aluminum-honeycomb core and pre-impregnated-carbon-fiber skin
.3: Pre-impregnated carbon fibers            
.4: Stainless steel ferrule and carbon-fiber skin",1
"Two videos (color, sound; 25 min. and 26 min.), projector, and monitor",1
"Colored ink and synthetic polymer paint on magazine page
",1
Felt-tip pen on board with black tape and and twine and pin,1
Aluminum and enameled steel,1
"Pencil, colored pencil, and synthetic polymer paint with pressure-sensitive tape on paper",1
"Watercolor, pencil, and conté crayon on paper",1
Eight drawings: casein on mylar,1
Lead antinomy,1
"Fabric, rubber, wood, and painted Nextel finish",1
One of two distressed cut-out plates with pencil and ink additions,1
"Pencil, colored pencil and ink on paper",1
Stainless steel and raffia,1
"Tempera, and ink, and pencil on board",1
"Vinyl lacquer paint on shaped canvases, six parts",1
"Artist's book with photolithographed type and typescript, eight photolithographs, one collage, and one inset photographic negative",1
Bookcase containing a set of 28 artist's books,1
7 woodcuts and supplementary suite,1
"Plastic box with offset label, containing twenty-one offset cards and crumbled offset sheet",1
88 soft ground etchings (including 42 pictorial initials and wrapper): 22 printed in black and 66 in color,1
Gouache and ink on print with acrylic,1
"Booklet with letterpress cover, text, and illustrations",1
"Dye transfer print, printed 1988",1
"Etching, aquatint (?) and drypoint, printed in black",1
Six linoleum cuts on one sheet,1
"Vacuum cleaners, plexiglass, and fluorescent lights",1
3 multiples of glass,1
"Wood, mixed mediums on paper, and metal",1
"Synthetic sheeting, metal stands, light fixtures, transformer, and string",1
Gelatin silver print (solarized?),1
Portfolio of twelve lithographs (including title page and colophon),1
"Steel, nickel, aluminum, and enamel",1
"Twenty-five lithographs, printed in black and in color",1
Illustrated book with 20 lithographs (9 with screenprint and 2 with relief stamping),1
Wood box with pencil and ink fingerprint,1
"Wood cabinet with fourteen drawers, containing various objects by nineteen artists, and documentation",1
"Sealed cardboard box with screenprint, containing unknown contents",1
"Bass drums, loudspeakers, Ping Pong balls, monofilament, and slow sweep pure wave oscillator",1
Series of twelve lithographs,1
"Roulette, soft ground etching, drypoint, and aquatint, printed in black",1
"Bronze, wax crayon, and oil-based paint",1
Set of three etchings,1
"1 sheet, sepia",1
4 aquatints (including front cover),1
"Illustrated book with eighteen lithographs, four etchings (two with aquatint), one photogravure, two woodcuts, one ready-made object (folder front), and reproductions.",1
Charcoal and correction fluid on paper,1
Ink and colored ink on grey paper,1
"Series of five aquatint, etching, and screenprints with chine collé and gold leaf additions",1
"Watercolor, synthetic polymer paint, felt-tip pen, graphite pencil and pastel",1
"Etching and aquatint with chine collé and collage addition from a portfolio of seven drypoints with chine collé (three with collage additions), one drypoint and aquatint with chine collé and collage additions, one etching with chine collé and spraypaint additions, and one etching and aquatint with chine collé and collaged screenprint additions",1
Copper-clad stainless steel,1
Black paper,1
"Journal with offset and letterpress cover, containing twenty-eight pasted offset, letterpress, and typewritten plates",1
6 chromogenic color prints and 3 gelatin silver prints,1
Photographic drawing with felt-tip pen on cut-and-pasted paper,1
"Silver dye bleach print from a portfolio of four chromogenic color prints, four digital prints (one double-sided), one silver dye bleach print, one monotype and photoetching, and one etching and aquatint",1
".1 Pencil, felt-tip pen, transfer type, ballpoint pen, with cut-and-taped tracing paper. .2 Photograph",1
Polychromed wood beam and metal,1
Screenprint with foil,1
Cut-and-pasted paper and printed paper with felt-tip pen and pencil on paper,1
"Molded plywood with walnut exterior, steel",1
Photocopy wih pencil,1
"Etching, drypoint, engraving and roulette, printed in black",1
Set of nine lithographs,1
"15 lithographs (including folder lining), printed in color",1
Charcoal and colored chalk on paper,1
16mm film leader (silent),1
Two silver dye bleach prints,1
13 gelatin silver prints on board,1
Letterpress in artist's frame,1
Mezzotint and monotype,1
"Cut plates with etching and aquatint, printed in color",1
Cut-and-pasted printed paper on paper on board in wood frame with colored glass,1
Metal and chrome-plated tubular stem,1
Lithograph on four hinged sheets,1
Relief halftone with gouache and gold leaf additions,1
Colored pencil  on paper,1
"Portfolio of six lithographs, one lithographed title page and one lithographed cover
",1
Lithograph on 2 sheets,1
Six 10-inch vinyl records in painted box,1
"PVC plastic, steel, and acoustic mesh",1
Oil and wax on three sheets of paper,1
Cut-and-pasted colored and printed paper and cloth on paper,1
Ink on three sheets of paper,1
"Mahogany, leather, and pony fur",1
"Lithograph and tape recording of the artist reading ""Length 4""",1
Drypoint with collage and correction fluid additions.,1
"6 wood engravings, printed in black",1
Illustrated book with fifty-six line block reproductions after drawings (thirty-two with stencil),1
Portfolio of four woodcuts,1
"Transfer lithograph on stone, printed in black and touched by hand with color crayon and watercolorwashes",1
album of 40 woodburytypes,1
"Illustrated book with eighty aquatints, most with etching, drypoint, and/or engraving",1
Screenprint on pressure sensitive sticker,1
"Pencil on printed paper
b: Pencil on printed paper",1
Photoemulsion with pastel additions,1
"Cut-and-pasted printed paper, powdered pigment, powdered metals, synthetic polymer paint, ink, and pencil on gray paper",1
"Cut-and-pasted paper, gouache, pencil, and watercolor on colored paper",1
"Lithograph and letterpress
Paper/Support: wove, yellow",1
Cardboard box with ink additions containing 86 scrolls (ink on paper); and three sheets of pencil and ballpoint pen on paper,1
Serigraph and drypoint,1
"Lacquered plywood, steel, and aluminum",1
Steel body,1
Gelatin silver print and nail,1
"Etching, soft ground etching and engraving, printed in black",1
"Photogravure, drypoint, laser-cutting, chine collé, gouache and pomade",1
"26 lithographs, 16 printed in color and 10 printed in black",1
"Archive of Vanity Press objects, including artist's books, posters, t-shirts, and other editioned ephemera",1
"Colored ink, ink, gouache, and pencil on paper",1
Enamel on wood and formica,1
Multiple of chocolate and baseball hat,1
"Charcoal, pastel, and colored pencil on paper",1
"Wood box with offset label, containing paper boxes",1
Title page from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,1
"Handmade paper of milkweed, cattail, saffron, pokeweed, and hijiki",1
"6 etchings (1 with soft ground etching and lift ground aquatint) and 2 soft ground etchings (1 with lift ground aquatint), printed in black on cream, smooth, laid Van Gelder paper; and 1 transfer lithograph, printed in black on ivory, smooth, wove Arches paper; and 100 line block reproductions after pen and ink drawings",1
Casein on cut-and-pasted cardboard,1
"Colored ink on paper
",1
"Hard and soft ground etching, engraving and aquatint, printed in green",1
Ink on bristol board,1
Illustrated book with 10 photolithographic reproductions,1
"Video (black and white, silent; 120 min.), seven VHS tapes, TV, VCR, gray metal stand",1
Pastel on flocked paper,1
Black chalk on colored paper,1
Drawing on paper,1
"Pencil and stamped ink on two pieces of paper
",1
"Ink, crayon, watercolor and gouache on paper",1
Aluminum and copper wire,1
"99 etchings over photogravure (most with engraving, some with drypoint) and 1 drypoint over photogravure, printed in black with gouache additions; 2 etchings (wrapper fronts), printed in black; on cream, smooth, wove Rives BFK paper (except wrappers); 2 supplementary suites, one on ivory, smooth, wove Japan +nacré- paper and one on ivory, smooth, laid Montval paper; and 2 half title pages embellished by the artist with ink and watercolor drawings",1
"Pencil, rubber stamp, and enamel on photocopy",1
"Portfolio of nine etchings (one with drypoint), and two drypoints",1
"Graphite wash, metallic pigment, pencil, and pastel on paper",1
Multiple of plastic box with offset label; containing one offset and six screenprints on paper from a multiple containing 31 objects in various media,1
Portfolio of thirteen lithographs with lithographed cover,1
"Offset on 18 sheets, stapled",1
Multiple of stencil and bricks,1
Collodion silver print,1
"36 woodcuts, 35 with wood engraving and 1 with lithograph (including wrapper front, table of prints, and 2 duplicates on solander box), 33 printed in color and 3 printed in black on ivory, smooth, laid Arches paper (except wrapper and solander box); and supplementary suite on cream, smooth, laid China paper",1
Paintstik on paper mounted on thin fabric,1
"Felt-tip pen, pencil, transfer type, and crayon on board",1
Book with eleven lithographed illustrations,1
Folded and pasted offset [SG to confirm],1
"Portfolio of 27 etchings, 17 with aquatint",1
"Catalogue from a boxed set with drawing, artist's book, catalogue, scarf, badge and canvas bag",1
"Synthetic polymer paint, watercolor, and pencil on paper",1
Aquatint and photo-sensitized etching,1
"Cover with letterpress text by Erlikh; 21 letterpress illustrations (including 15 headpieces and tailpieces) and 9 photomechanical reproductions (4 tipped in), all by Guro",1
Relief halftone reproduction after Rouault portrait of Vollard,1
Synthetic polymer paint and pencil on printed paper,1
Portfolio of ten offset lithographs,1
"Heliogravure and etching from an illustrated book with twenty etchings (twelve with aquatint, one with heliogravure, and one with heliogravure and aquatint), one heliogravure, two zincographs, one woodcut, one aquatint wrapper, and eight reproductions",1
Aluminum and rosewood casing and acrylic,1
Ash wood,1
"Cut-and-pasted silver gelatin photograph and cut-and-pasted paper on paper with graphite, color pencil, ballpoint pen and ink stamp",1
Photogravure copper plate,1
Potato print in artist's frame,1
"Pear wood, natural and stained black",1
Illustrated book with eleven lithographs (including front cover),1
Lacquered metal and plastic,1
"11 etchings, printed in black",1
Color and graphite on tracing paper,1
Negative-positive sandwich,1
"Transfer or counter-proof from lithograph on zinc, hand colored in brown (color crayon and watercolor wash?) and prob ably lightly varnished",1
"Engraving, drypoint, and aquatint over photogravure, with hand additions",1
Cut-and-pasted paper and printed paper with stencil copy from a portfolio of 71 prints,1
Painted sheet steel and steel wire,1
Cut-out photographs and photo reproductions on illustration board,1
Installation,1
"Photocopy, with hand editions",1
"Cut-and-pasted printed paper, ink, and felt-tip pen on paper",1
Printed woven cotton textile sample,1
"Etching, engraving, and monotype, with selective wiping",1
Painted tinned-iron,1
"Aquatint, with collage",1
"Wood box with label, containing sand and three toy whistles",1
Ping pong racket with styrofoam,1
"Styrofoam blocks, wood and motor",1
Gouache and watercolor on paper with cardboard overlay,1
"Wood, glass, wire, and string",1
Unglazed bizenware,1
"Photo static positive and negative of ""Piano Piece for David Tudor 1""",1
Cut-and-pasted printed paper and black paper,1
"Wood, plastic, and plaster",1
Portfolio of eight etching and aquatints (two with photogravure) and one aquatint (including title page and colophon),1
"Ink on gelatin silver print
",1
Torn-and-pasted paper with ink and ink transfer on paper,1
"Artist's book with plasticine additions on synthetic polymer cover, housed in synthetic polymer box",1
"Illustrated book of 13 felt tip pen and ink drawings with pochoirs (including wrapper front): 11 with collaged xerox, 10 with stamp, and 1 with pencil; and 6 ornamental pochoir numerals",1
"6 relief halftone reproductions after drawings, printed in color and in black",1
Portfolio of fifty lithographs,1
"Teak, brass and leather",1
Lithograph from a portfolio of eleven lithographs and one screenprint from a portfolio of eleven lithographs and one screenprint,1
Etching on twelve sheets,1
Illustrated book with two inkless etchings with ink additions and one etching,1
"Handmade paper of mulberry, burdock, hibiscus stems, barley, hijiki, and clover",1
Spun silk and mohair,1
Woodcut and etching,1
Illustrated book with twenty-two lithographs (including pictorial initials and ornaments),1
Crayon on painted wall,1
"Engraving and aquatint with roulette, printed in black",1
Plastic sheet and seven postcards in plastic pouch,1
"Cut-and-pasted colored paper, cut-and-pasted paper, and metallic foil on paper",1
Computer-generated print. print,1
Portfolio of fourteen lithographs with letterpress cover,1
"Pencil, colored pencil, and cut-and-pasted paper on paper",1
"Portfolio of eleven photolithographs with seven additional images by Charles Wilp; and test tube containing sand, housed in a cardboard box",1
Pigmented inkjet prints and mixed media,1
"Formed plastic with flocking, containing wax egg",1
"Mimeograph on four sheets, with ink additions (CONFIRM)",1
Horn,1
"Etching, aquatint, and embossing",1
"Synthetic polymer paint, bronze powder and lacquer on wood, anodized aluminum, rubber, plastic, formica, leather, chrome-plated steel, and canvas",1
Lacquered brass with epoxy resin finish,1
"Graphite, watercolor, and gouache on paper",1
Ebonized bentwood,1
Ink on watercolor on paper,1
Portfolio of six etching and aquatints,1
"Laser-cut polystyrene, glue, white airbrushed paint",1
"1 lithograph (frontispiece), printed in black",1
"Multiple of gelatin silver print, housed in wooden box with felt covering and silver-plated knob",1
"Multiple of super 8 film, ten photographs, and bottle with gelatin and beeswax",1
Multiple of fragrance and glass bottle with oxidation,1
P.T.F.E.-treated pressure cast aluminum and polyamide,1
Series of fourteen etching and photogravures with chine collé,1
Extruded PVC and brass,1
"Ink and pencil on paper, photocopy

",1
Pencil on paper and tracing paper,1
Felt tip pen on graph paper,1
Aquatint from a portfolio of eight etching and aquatints (two with photogravure) and one aquatint (including title page and colophon),1
"Colored pencil, graphite, and color ink on tracing paper",1
"Chromogenic color print by Shay-Lee Uziei, from a series of fifty unique chromogenic color prints by fifty photographers",1
Human hair with hair spray tied to black paper,1
"Installation of ballpoint pen, cut-and-pasted paper, synthetic polymer paint, cardboard, and typewriting on paper and chromogenic color print in artist's frames
",1
"Plaster, aluminum, and plywood base",1
"38 etching and lift ground aquatints, 23 with roulette (executed by Roger Lacourière after Laprade drawings), printed in color",1
Series of seven screenprints and one with stamp and conté crayon,1
Injection-molded ABS polymer casing,1
"Pencil, colored pencil, and felt-tip pen on hotel stationery",1
Rattan and fabric upholstered cushion,1
Walnut and leather,1
"Enameled steel, lacquered wood, and rubber",1
Series of seven aquatint and etchings,1
Suite of 17 transfer lithographs,1
Photo collage with pencil on paper,1
Crayon on printed paper,1
Toy airplane on printed paper in artist's frame,1
"Painted and printed unstretched canvas, in nine parts",1
"Digital print with lithography and gold dusting from a portfolio of 19 digital prints (12 with lithography, 1 with pochoir, 1 with hand coloring, and 1 with gold dusting) and 1 lithograph",1
"Polystyrene, chipboard, and acrylic",1
"Illustrated book with 1 drypoint on celluloid (""Nude"", plate facing page 4)",1
EVA foam and O temper aluminum alloy,1
Brazed and welded bronze,1
5 digital files,1
Collating chart accompanying the portfolio of thirty-four photolithographs and sixteen screenprints,1
Synthetic rubber,1
Illustrated book with eight screenprints,1
Mouth-blown heat-resistant glass,1
"Cut-and-pasted photocopy with transfer type, cut-and-pasted chromogenic color print, acrylic paint, and felt-tip pen on card stock",1
"Wood, plexiglass, paper, fabric, pencil, charcoal, enamel paint, wire mesh, and electric light",1
Card with typewriting and paintbox with a paintbrush and 15 tubes of water-color paint (confirm),1
Watercolor and ink on colored paper,1
"Folding wood box containing book, glass key, printed texts and scores, two scrolls, 8 empty plastic boxes, ink on paper footprint and printed score",1
Eight plates from a portfolio of four etchings with chine collé and six etchings and aquatints with chine collé,1
Illustrated book with letterpress and photomontage,1
Portfolio of thirty-one lithographs,1
Illustrated book with twenty-one transfer lithographs (including wrapper front),1
"Painted metal birdcage containing marble blocks, thermometer, and piece of cuttlebone",1
Gouache and watercolor on colored paper,1
Printed canvas or thick cotton,1
"Plastic, wood, metal, cardboard, foamboard, and paint",1
One lithograph (frontispiece),1
Wood box containing sixteen 35mm color slides in plastic case,1
"Nickel-plated brass, aluminum, and lacquered wood",1
"Cut-and-pasted colored paper, pencil, and press-type on paper",1
Multiple of enamel on steel,1
Graphite and iodine on paper,1
Crayon and pen and ink and pencil on graph paper form notebook,1
Series of three artist's newspapers,1
"Artist's book, ink and watercolor on paper",1
Aquatint and etching with chine collé,1
Blind stamp,1
Unfolded quarto signature in a hinged double-sided frame,1
Photstat on paper,1
Glass beads sewn with thread on paper,1
"Weatherproof steel, four identical conical sections",1
Folding city map,1
Iron ball in polyester resin,1
Pencil and felt-tipped pen on mylar,1
"Plywood, plastic laminate, and zinc",1
"Watercolor, ink, gouache, and pencil on paperboard",1
"FLY, PEACOCK, PORCUPINE, BARRACUDA, MOUSE: 5 linoleum cuts, printed in black. HYENA: Linoleum cut, printed in color",1
Recto: oil transfer drawing; verso: graphite and colored pencil,1
Screenprint on synthetic polymer sheet,1
Graphite and collage of wood veneer and cut-and-pasted reproduction on illustration board,1
Ink with cut-and-pasted paper on paper,1
Gouache and oil stick on paper,1
Illustrated book with twelve inkless embossings,1
Illustrated book with six relief halftone reproductions after drawings,1
"Cut-and-pasted paper with watercolor, ink, gouache, and color pencil on gelatin silver photograph (aerial view of London)",1
"Transfer lithographs, printed in black",1
Cut-and-pasted colored paper on card,1
Gelatin silver print with wood,1
"Watercolor, oil pastel, and ink on paper taped on graph paper",1
PMMA plastic,1
Tubular steel and molded plywood,1
"Wood with cork, nylon wire and motor",1
"Mezzotint, printed in brown-black",1
Illustrated book with eleven lithographs,1
"Portfolio of nine etchings (eight with various collage additions), four offset lithographs, one etching, one transfer print, one double-sided screenprint, two sets of ten offset lithographs on gummed and perforated paper, and three engravings; plus the relief-printed title pages and offset program",1
Enameled tubular steel and cotton,1
Cast bronze,1
"Ink, red felt-tip ink and graphite on paper",1
Etched glass and leather case,1
Found objects assembled and wrapped in twine and yarn,1
Stencil and paint on wall,1
Letterpress with ink and felt-tip pen additions,1
"Charcoal, ink, graphite, and airbrushed pigment on paper",1
Woodcut printed in color and with color added by hand,1
