Medium,Values
One from an illustrated book with forty-two photogravure and drypoints after celluloid engravings,42
Ink and watercolor on paper,42
Crayon and pencil on paper,42
"Soft ground etching and aquatint, printed in color",41
One from a series of forty screenprints,40
Pencil on transparentized paper,40
Drypoint and aquatint,40
One from a portfolio of forty lithographs,40
One from a portfolio of ten etchings,40
Painted wood,40
Watercolor and colored pencil on paper,40
Photostat,40
Daguerreotype,40
Steel,39
One from a series of 39 screenprints on MDF panels,39
Mixed media,39
"Gelatin silver print, printed 2013",39
Etching from an illustrated book with thirty-nine etchings (including title page and colophon),39
Aquatint and drypoint,39
"Four lithographs, offset printed",38
Pencil and crayon on paper,38
"16mm film transferred to video (color, sound)",37
Lithographed comic strip,37
"Aquatint, printed in color",36
"One from a portfolio of 36 woodcuts and letterpress, mounted on paper",36
One lithograph from an illustrated book of thirty-six lithographs,36
"Video (color, silent)",36
Gum bichromate print,36
Color instant print (Polaroid),36
"Gelatin silver print, printed 1979",36
Etching and aquatint from a portfolio of twenty etchings (eighteen with aquatint and one with drypoint),35
One from a portfolio of six lithographs,35
Double-sided broadside with relief print and letterpress,35
Linocut,35
Acrylic,35
"16mm film (color, silent)",35
Felt-tip pen and watercolor on paper,34
Platinum/palladium print,34
"Linoleum cut, printed in color, with blue and black pencil additions",34
Print,34
Oil transfer drawing on paper,34
Photolithograph from a portfolio of thirty-four photolithographs and sixteen screenprints,33
"16mm film transferred to video (black and white, sound)",33
Lithograph and screenprint,33
One from a portfolio of thirty-three lithographs,33
Plaster,33
Portfolio of ten lithographs,32
One from an illustrated book with 32 photolithographic reproductions after drawings (including covers),32
One from an illustrated book with sixteen lithographs,32
"Etching, engraving, and drypoint, printed in color",32
One from a portfolio of eight etchings,32
Invitation card,32
One from a portfolio of thirty-one lithographs,31
Carbon print,31
"Woodcut, printed in black, with watercolor additions",31
Colored ink on paper,31
"Gelatin silver print, printed 1993",31
Glazed earthenware,31
Gelatin silver print (photogram),31
One from an illustrated book with thirty-two woodcuts,30
"Collagraph, printed in color",30
Oil on board,30
Crystal,30
One from an illustrated book with thirty screenprints (including title page),30
"Felt-tipped marker, pencil and colored pencil on paper",30
Color photocopy,30
One from a portfolio of thirty-one screenprints,30
Platinum/palladium print in bound volume,30
"Aquatint, with hand additions",30
Casein tempera on hardboard,30
"Chromogenic color print, printed 2012",30
"Lithograph, printed in black and color",30
One from a portfolio of thirty linoleum cuts,30
"Etching, aquatint, and drypoint, printed in black",30
"Aquatint, printed in black",30
Etching and engraving,29
"Engraving and drypoint, with hand additions",29
Watercolor,29
"Chromogenic color print, printed 1987",29
One from a series of 31 digital prints,29
Cotton,29
Cut-and-pasted printed paper on paper,29
"Gelatin silver print, printed 1996",29
"Etching and lift ground aquatint, printed in black",28
One from a series of fourteen lithographs,28
Gouache on board,28
Album of 48 gelatin silver prints,28
"Gelatin silver print, printed 1987-88 by Tom Consilvio",28
One from a portfolio of twenty-eight offset lithographs,28
One from a portfolio of 28 aquatints,28
Inkless intaglio,28
One from a portfolio of thirty-four collotypes after frottage,28
Stamped ink on postcard,28
Etching from an illustrated book with twenty-eight etchings,28
Pencil on graph paper,28
Drypoint with chine collé,27
Ink and stamps on postcard,27
"Etching, aquatint, and drypoint",27
One of 32 collotype reproductions (31 with pochoir) after costume designs for ballet,27
Ink and gouache on paper,27
One from a series of twenty-seven lithographs,27
"Digital print, with hand additions",27
One from a portfolio of nine lithographs,27
Letterpress and lithograph,27
"Gelatin silver print, printed 1947",27
"Etching and drypoint, printed in color",27
One from a portfolio of 27 etching and nyloprints with letterpress additions,27
Microfilm reader-printer machine print,26
Etching and aquatint from an illustrated book with thirty-nine etchings (twenty-six with aquatint and five with drypoint and aquatint),26
One from an illustrated book with twenty-six screenprints,26
One from a series of twenty-seven diazotypes,26
One from a portfolio of 26 offset lithographs,26
Mezzotint,26
Pencil and ink on vellum,26
One from a series of twenty-six screenprints,26
One from a portfolio of twenty-seven lithographs,26
"16mm film transferred to video (black and white, silent)",26
Favrile glass,26
"Etching and lift ground aquatint, printed in color",26
Journal with letterpress cover and illustrations,26
Ink on transparentized paper,26
Albumen silver print (gold-toned),26
"Lithograph from a portfolio of thirty-one lithographs (one with aquatint, one with collotype, one with screenprint), twenty-two screenprints (one with embossing, one with flocking, one with stencil), eleven etchings (five with aquatint, one with aquatint and drypoint, one with aquatint, drypoint, and engraving), three aquatints (one with etching), and two woodcuts",26
One from a portfolio of thirteen lithographs,26
Pen and ink on paper,26
One from a portfolio of 26 screenprints,26
"Lithograph and pochoir, printed in color",25
