Name,Nationality,Gender,Birth Year,Death Year,Living Status,Age
Marcel Mathys,Swiss,Male,1933,Alive,TRUE,#VALUE!
Henri Matisse,French,Male,1869,1954,FALSE,85
Vera Matiukh,Russian,Female,1912,Alive,TRUE,#VALUE!
Mikhail Matiushin,Russian,Male,1861,1934,FALSE,73
Akira Matsumoto,Japanese,Male,1936,Alive,TRUE,#VALUE!
Toshio Matsumoto,Japanese,Male,1932,Alive,TRUE,#VALUE!
Matsumura Sadaiku,Japanese,Male,1936,Alive,TRUE,#VALUE!
Shin Matsunaga,Japanese,Male,1940,Alive,TRUE,#VALUE!
Roberto Matta,Chilean,Male,1911,2002,FALSE,91
Herbert Matter,American,Male,1907,1984,FALSE,77
Leni Matthaei,German,Female,1873,1981,FALSE,108
Holger Matthies,German,Male,1940,Alive,TRUE,#VALUE!
Jan Matulka,American,Male,1890,1972,FALSE,82
Maxine Emile Louis Maufra,French,Male,1861,1918,FALSE,57
Jacques Mauny,French,Male,1893,1962,FALSE,69
Alfred H. Maurer,American,Male,1868,1932,FALSE,64
Ingo Maurer,German,Male,1932,Alive,TRUE,#VALUE!
Neil Maurer,American,Male,1941,Alive,TRUE,#VALUE!
Charles Maurin,French,Male,1856,1914,FALSE,58
Almir Mavignier,Brazilian,Male,1925,Alive,TRUE,#VALUE!
Peter Max,American,Male,1937,Alive,TRUE,#VALUE!
Paul Mayen,American,Male,1918,2000,FALSE,82
Elaine Mayes,American,Female,1938,Alive,TRUE,#VALUE!
Roger Mayne,British,Male,1929,2014,FALSE,85
Michael Mazur,American,Male,1935,2009,FALSE,74
Azaria Mbatha,South African,Male,1941,Alive,TRUE,#VALUE!
Dr. John McArthur,British,Male,1901,1996,FALSE,95
Jay McCafferty,American,Male,1948,Alive,TRUE,#VALUE!
Henry McCarter,American,Male,1864,1942,FALSE,78
Byron McClintock,American,Male,1930,Alive,TRUE,#VALUE!
Allan McCollum,American,Male,1944,Alive,TRUE,#VALUE!
Leonard McCombe,American,Male,1923,Alive,TRUE,#VALUE!
Ann McCoy,American,Female,1946,Alive,TRUE,#VALUE!
John McCracken,American,Male,1934,2011,FALSE,77
Jean McEwen,Canadian,Male,1923,1999,FALSE,76
Rory McEwen,British,Male,1932,1982,FALSE,50
Elizabeth McFadden,American,Female,1912,Alive,TRUE,#VALUE!
Lawrence McFarland,American,Male,1942,Alive,TRUE,#VALUE!
James McGarrell,American,Male,1930,Alive,TRUE,#VALUE!
Kenneth McGowan,American,Male,1940,1986,FALSE,46
Byron McKeeby,American,Male,1936,Alive,TRUE,#VALUE!
Rhondal McKinney,American,Male,1948,Alive,TRUE,#VALUE!
John McLaughlin,American,Male,1898,1976,FALSE,78
Bruce McLean,British,Male,1944,Alive,TRUE,#VALUE!
Richard McLean,American,Male,1934,2014,FALSE,80
Michael McLoughlin,American,Male,1936,Alive,TRUE,#VALUE!
George McNeil,American,Male,1908,1995,FALSE,87
William C. McNulty,American,Male,1889,1963,FALSE,74
Larry Mcpherson,American,Male,1943,Alive,TRUE,#VALUE!
Frederick Edward McWilliam,British,Male,1909,1992,FALSE,83
John McWilliams,American,Male,1941,Alive,TRUE,#VALUE!
Roderick Mead,American,Male,1900,1971,FALSE,71
Clement Meadmore,Australian,Male,1929,Alive,TRUE,#VALUE!
Howard Mehring,American,Male,1931,1978,FALSE,47
Hans Meid,German,Male,1883,1957,FALSE,74
Ludwig Meidner,German,Male,1884,1966,FALSE,82
Richard Meier,American,Male,1934,Alive,TRUE,#VALUE!
Leo Meissner,Nationality unknown,Male,1895,1977,FALSE,82
Aleksandr Danilovich Melamid,American,Male,1945,Alive,TRUE,#VALUE!
F. M. Melchers,Nationality unknown,Male,1848,1944,FALSE,96
Mohamed Melehi,Moroccan,Male,1936,Alive,TRUE,#VALUE!
José Meléndez Contreras,American,Male,1921,1998,FALSE,77
Waldimiro Melgarejo Muñoz,Argentine,Male,1908,1979,FALSE,71
Georges Méliès,French,Male,1861,1938,FALSE,77
John Melin,Swedish,Male,1921,Alive,TRUE,#VALUE!
Xavier Mellery,Belgian,Male,1845,1921,FALSE,76
Fausto Melotti,Italian,Male,1901,1986,FALSE,85
Pierre Mendell,German,Male,1929,Alive,TRUE,#VALUE!
Leopoldo Méndez,Mexican,Male,1902,1969,FALSE,67
Ana Mendieta,American,Female,1948,1985,FALSE,37
Alessandro Mendini,Italian,Male,1931,Alive,TRUE,#VALUE!
Antonio Mendoza,American,Male,1941,Alive,TRUE,#VALUE!
Edward Meneeley,American,Male,1927,Alive,TRUE,#VALUE!
Wendy Meng,American,Female,1944,Alive,TRUE,#VALUE!
Roberto Menghi,Italian,Male,1920,Alive,TRUE,#VALUE!
Carl (Carlo) Mense,German,Male,1886,1965,FALSE,79
Jan Menses,Canadian,Male,1933,Alive,TRUE,#VALUE!
Carlos Mérida,Guatemalan,Male,1891,1984,FALSE,93
Richard Merkin,American,Male,1938,2009,FALSE,71
Knud Merrild,American,Male,1894,1954,FALSE,60
Hugh Merrill,American,Male,1949,Alive,TRUE,#VALUE!
Roger Mertin,American,Male,1942,2001,FALSE,59
Gerhard Merz,German,Male,1947,Alive,TRUE,#VALUE!
Mario Merz,Italian,Male,1925,2003,FALSE,78
Felix Meseck,German,Male,1883,1955,FALSE,72
E.L.T. (Edouard Léon Théodore) Mesens,Belgian,Male,1903,1968,FALSE,65
Jean Messagier,French,Male,1920,1999,FALSE,79
Gary Metz,American,Male,1941,Alive,TRUE,#VALUE!
Jean Metzinger,French,Male,1883,1956,FALSE,73
Ray K. Metzker,American,Male,1931,2014,FALSE,83
Sheila Metzner,American,Female,1939,Alive,TRUE,#VALUE!
George Meunier,French,Male,1869,1942,FALSE,73
Henri Meunier,Belgian,Male,1873,1922,FALSE,49
Floris Meydam,Dutch,Male,1919,Alive,TRUE,#VALUE!
Melissa Meyer,American,Female,1947,Alive,TRUE,#VALUE!
Hans Meyer-Petersen,Danish,Male,1937,Alive,TRUE,#VALUE!
Joel Meyerowitz,American,Male,1938,Alive,TRUE,#VALUE!
Robert Meyers,American,Male,1931,Alive,TRUE,#VALUE!
Guillermo Meza,Mexican,Male,1917,1997,FALSE,80
Duane Michals,American,Male,1932,Alive,TRUE,#VALUE!
Henri Michaux,French,Male,1899,1984,FALSE,85
Robert Michel,German,Male,1897,1983,FALSE,86
Midorikawa Yoichi,Japanese,Male,1915,2001,FALSE,86
Mielatz,American,Male,1864,1919,FALSE,55
James Miho,American,Male,1933,Alive,TRUE,#VALUE!
Tomoko Miho,American,Female,1931,2012,FALSE,81
Jun Miki,Japanese,Male,1919,1992,FALSE,73
Tomio Miki,Japanese,Male,1937,1978,FALSE,41
Josef Mikl,Austrian,Male,1929,2008,FALSE,79
Eleanore Mikus,American,Female,1927,Alive,TRUE,#VALUE!
Stephen R. Milanowski,American,Male,1953,Alive,TRUE,#VALUE!
Gjon Mili,American,Male,1904,1984,FALSE,80
Raùl Miliàn,Cuban,Male,1914,1984,FALSE,70
Pedro Millar,Chilean,Male,1930,2014,FALSE,84
Manolo Millares,Spanish,Male,1926,1972,FALSE,46
Earl Miller,American,Male,1930,Alive,TRUE,#VALUE!
John Miller,American,Male,1948,Alive,TRUE,#VALUE!
Kenneth Hayes Miller,American,Male,1876,1952,FALSE,76
Melissa Miller,American,Female,1951,Alive,TRUE,#VALUE!
Nachume Miller,Israeli,Male,1949,1998,FALSE,49
Peter Caldwell Millett,American,Male,1949,Alive,TRUE,#VALUE!
Edward Millman,American,Male,1907,1964,FALSE,57
John Mills,American,Male,1842,1916,FALSE,74
Lev Mills,American,Male,1940,Alive,TRUE,#VALUE!
David Brown Milne,Canadian,Male,1882,1953,FALSE,71
Keith Milow,British,Male,1945,Alive,TRUE,#VALUE!
Zwi Milshtein,Israeli,Male,1934,Alive,TRUE,#VALUE!
Peter Milton,American,Male,1930,Alive,TRUE,#VALUE!
Marcello Minale,Italian,Male,1938,2000,FALSE,62
Keiko Minami,Japanese,Female,1911,2004,FALSE,93
André Minaux,French,Male,1923,Alive,TRUE,#VALUE!
Stephen Mindel,American,Male,1938,Alive,TRUE,#VALUE!
Roger Minick,American,Male,1944,Alive,TRUE,#VALUE!
Thomas Minkler,Nationality unknown,Male,1933,1994,FALSE,61
