Name,Nationality,Gender,Birth Year,Death Year,Living Status,Age
Robert Arneson,American,Male,1930,1992,FALSE,62
Doroteo Arnaiz,Spanish,Male,1936,Alive,TRUE,
Bill Arnold,American,Male,1941,Alive,TRUE,
Charles Arnoldi,American,Male,1946,Alive,TRUE,
Per Arnoldi,Danish,Male,1941,Alive,TRUE,
Danilo Aroldi,Italian,Male,1925,Alive,TRUE,
Bill Aron,American,Male,1941,Alive,TRUE,
David Aronson,American,Male,1923,Alive,TRUE,
Irene Aronson,American,Female,1918,Alive,TRUE,
Jean (Hans) Arp,French,Male,1886,1966,FALSE,80
Jüri Arrak,Estonian,Male,1936,Alive,TRUE,
J. Arrelano Fischer,Mexican,Male,1911,1995,FALSE,84
Folke Arstrom,Swedish,Male,1907,1997,FALSE,90
Cristobal Arteche,Spanish,Male,1900,1964,FALSE,64
Richard Artschwager,American,Male,1923,2013,FALSE,90
Ruth Asawa,American,Female,1926,2013,FALSE,87
Charles Robert Ashbee,British,Male,1863,1942,FALSE,79
Donald Ashcraft,American,Male,1927,Alive,TRUE,
E. M. Ashe,American,Male,1867,1941,FALSE,74
Erik Gunnar Asplund,Swedish,Male,1885,1940,FALSE,55
Geneviève Asse,French,Female,1923,Alive,TRUE,
Sergio Asti,Italian,Male,1926,Alive,TRUE,
Dana Atchley,American,Female,1941,2000,FALSE,59
Alvar Aalto,Finnish,Male,1898,1976,FALSE,78
Aino Aalto,Finnish,Female,1894,1949,FALSE,55
Eero Aarnio,Finnish,Male,1932,Alive,TRUE,
Jules Aarons,American,Male,1921,2008,FALSE,87
Magdalena Abakanowicz,Polish,Female,1930,Alive,TRUE,
James Abbe,American,Male,1883,1973,FALSE,90
Jussuff Abbo,British,Male,1888,1953,FALSE,65
Berenice Abbott,American,Female,1898,1991,FALSE,93
Nobuya Abe,Japanese,Male,1913,1971,FALSE,58
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,Alive,TRUE,
Robert Abel,American,Male,1937,Alive,TRUE,
Sigmund Abeles,American,Male,1934,Alive,TRUE,
Raimund Abraham,American,Male,1933,2010,FALSE,77
Ivor Abrahams,British,Male,1935,Alive,TRUE,
Gerald Abramovitz,British,Male,1928,2011,FALSE,83
William Ross Abrams,American,Male,1920,2007,FALSE,87
Rodolfo Abularach,Guatemalan,Male,1933,Alive,TRUE,
Vito Acconci,American,Male,1940,Alive,TRUE,
Milton Ackoff,American,Male,1915,Alive,TRUE,
Luis Alberto Acuña,Colombian,Male,1904,1994,FALSE,90
Henri Georges Adam,French,Male,1904,1967,FALSE,63
Antoine Samuel Adam-Salomon,French,Male,1818,1881,FALSE,63
Valerio Adami,Italian,Male,1935,Alive,TRUE,
Ansel Adams,American,Male,1902,1984,FALSE,82
Alice Adams,American,Female,1930,Alive,TRUE,
Clinton Adams,American,Male,1918,2002,FALSE,84
Dacres Adams,British,Male,1864,1951,FALSE,87
Dennis Adams,American,Male,1948,Alive,TRUE,
Kenneth M. Adams,American,Male,1897,1966,FALSE,69
Robert Adams,American,Male,1937,Alive,TRUE,
Shelby Lee Adams,American,Female,1950,Alive,TRUE,
Charles Addams,American,Male,1912,1988,FALSE,76
Allan Adler,American,Male,1916,2002,FALSE,86
Jankel Adler,Polish,Male,1895,1949,FALSE,54
Virginia Admiral,American,Female,1915,2000,FALSE,85
Pic Adrian,Romanian,Male,1910,Alive,TRUE,
Roy Adzak,British,Male,1927,1987,FALSE,60
Nicholas Africano,American,Male,1948,Alive,TRUE,
Afro (Afro Basaldella),Italian,Male,1912,1976,FALSE,64
Agam (Yaacov Agam),Israeli,Male,1928,Alive,TRUE,
Mehemed Fehmy Agha,American,Male,1896,1978,FALSE,82
Kathleen Agnoli,American,Female,1945,Alive,TRUE,
Peter Agostini,American,Male,1913,1993,FALSE,80
Olympe Aguado de las Marismas,French,Male,1827,1894,FALSE,67
Dongkuk S. Ahn,American,Male,1937,2013,FALSE,76
Aarne Aho,Finnish,Male,1904,1978,FALSE,74
Otl Aicher (also known as Otto Aicher),German,Male,1922,1991,FALSE,69
Lucien Aigner,American,Male,1901,1999,FALSE,98
Gregory Ain,American,Male,1908,1988,FALSE,80
Edgar Ainsworth,British,Male,1906,1975,FALSE,69
Roberto Aizenberg,Argentine,Male,1928,1996,FALSE,68
Kinji Akagawa,Japanese,Male,1940,Alive,TRUE,
Ryoji Akiyama,Japanese,Male,1942,Alive,TRUE,
Munira Al-Kazi,Kuwaiti,Female,1939,Alive,TRUE,
Alastair (Hans H. Voight),German,Male,1887,1969,FALSE,82
Anni Albers,American,Female,1899,1994,FALSE,95
Josef Albers,American,Male,1888,1976,FALSE,88
Joan Albert,American,Female,1943,2012,FALSE,69
Ivan Le Lorraine Albright,American,Male,1897,1983,FALSE,86
Albert Alcalay,American,Male,1917,2008,FALSE,91
L. (Alfred Lewin Copley) Alcopley,American,Male,1910,1992,FALSE,82
Alan Aldridge,British,Male,1943,Alive,TRUE,
Pierre Alechinsky,Belgian,Male,1927,Alive,TRUE,
Peter Alexander,American,Male,1939,Alive,TRUE,
José R. Alicea,American,Male,1928,Alive,TRUE,
James Alinder,American,Male,1941,Alive,TRUE,
Yves Alix,French,Male,1890,1969,FALSE,79
Wobbe Alkema,Dutch,Male,1900,1984,FALSE,84
William Allan,American,Male,1936,Alive,TRUE,
Alexander Alland,American,Male,1902,1989,FALSE,87
Harry Allen,American,Male,1964,Alive,TRUE,
Terry Allen,American,Male,1943,Alive,TRUE,
Adrian Allinson,British,Male,1890,1959,FALSE,69
Carlos Alonso,Argentine,Male,1929,Alive,TRUE,
Glen Alps,American,Male,1914,1996,FALSE,82
Henry Altchek,American,Male,1943,Alive,TRUE,
Gerhard Altenbourg,German,Male,1926,1989,FALSE,63
Hobie Alter,American,Male,1933,Alive,TRUE,
Harold Altman,American,Male,1924,2003,FALSE,79
Giacchino Altobelli,Italian,Male,1814,Alive,TRUE,
John Altoon,American,Male,1925,1969,FALSE,44
Manuel Álvarez Bravo,Mexican,Male,1902,2002,FALSE,100
Dag Alveng,Norwegian,Male,1953,Alive,TRUE,
Getulio Alviani,Italian,Male,1939,Alive,TRUE,
Edmond-François Aman Jean,French,Male,1858,1936,FALSE,78
Jim Amaral,American,Male,1933,Alive,TRUE,
Emilio Ambasz,Argentine,Male,1943,Alive,TRUE,
Irving Amen,American,Male,1918,2011,FALSE,93
Woody van Amen,Dutch,Male,1936,Alive,TRUE,
Gregory Amenoff,American,Male,1948,Alive,TRUE,
Florencia de Amesti,Chilean,Female,1925,2006,FALSE,81
Cuno Amiet,Swiss,Male,1868,1961,FALSE,93
Francisco Amighetti Ruiz,Costa Rican,Male,1907,1998,FALSE,91
Emma Amos,American,Female,1938,Alive,TRUE,
Mauricio Amster Cats,Chilean,Male,1907,1980,FALSE,73
William Anastasi,American,Male,1933,Alive,TRUE,
Stephen Ancona,American,Male,1932,Alive,TRUE,
Jiþi Anderle,Czech,Male,1936,Alive,TRUE,
Gunnar Aagaard Andersen,Danish,Male,1919,1982,FALSE,63
Karin Schou Andersen,Danish,Female,1953,Alive,TRUE,
Clarence William Anderson,American,Male,1891,1971,FALSE,80
Carl Anderson,American,Male,1903,1989,FALSE,86
Dennis Anderson,American,Male,1948,Alive,TRUE,
Jeremy Anderson,American,Male,1921,1982,FALSE,61
James Anderson,British,Male,1813,1877,FALSE,64
Jerry Anderson,American,Male,1938,Alive,TRUE,
John Anderson,British,Male,1928,Alive,TRUE,
Neil Anderson,American,Male,1933,Alive,TRUE,
Paul L. Anderson,American,Male,1880,1956,FALSE,76
Monika Andersson,Swedish,Female,1957,Alive,TRUE,
Joe Andoe,American,Male,1955,Alive,TRUE,
Farnese de Andrade-Neto,Brazilian,Male,1926,1996,FALSE,70
Carl Andre,American,Male,1935,Alive,TRUE,
Pat Andrea,Dutch,Male,1942,Alive,TRUE,
Henning Andreasen,Danish,Male,1923,Alive,TRUE,
Laura Andreson,American,Female,1902,1999,FALSE,97
Mariano Andreù,Spanish,Male,1901,Alive,TRUE,
Benny Andrews,American,Male,1930,2006,FALSE,76
Emmy Andriesse,Dutch,Female,1914,1953,FALSE,39
Claudia Andujar,American,Female,1931,Alive,TRUE,
Manuel Angeles Ortiz,Spanish,Male,1895,1984,FALSE,89
Ludwig Angerer,Austrian,Male,1827,1879,FALSE,52
Raúl Anguiano,Mexican,Male,1915,2006,FALSE,91
Sibyl Anikeef,American,Female,1896,1996,FALSE,100
James Craig Annan,British,Male,1864,1946,FALSE,82
Thomas Annan,British,Male,1829,1887,FALSE,58
David Annesley,British,Male,1936,Alive,TRUE,
Horst Antes,German,Male,1936,Alive,TRUE,
William Anthony,American,Male,1934,Alive,TRUE,
Stephen Antonakos,American,Male,1926,2013,FALSE,87
Garo Antreasian,American,Male,1922,Alive,TRUE,
Nemesio Antúnez,Chilean,Male,1918,1993,FALSE,75
Richard Anuszkiewicz,American,Male,1930,Alive,TRUE,
Carl Apfelschnitt,American,Male,1948,Alive,TRUE,
Karel Appel,Dutch,Male,1921,2006,FALSE,85
Ida Applebroog,American,Female,1929,Alive,TRUE,
Shusaku Arakawa,American,Male,1936,2010,FALSE,74
Diane Arbus,American,Female,1923,1971,FALSE,48
Aleksandr Archipenko,American,Male,1887,1964,FALSE,77
Mordecai Ardon,Israeli,Male,1896,1992,FALSE,96
Luis Arenal,Mexican,Male,1909,1985,FALSE,76
Egmont Arens,American,Male,1888,1966,FALSE,78
Avigdor Arikha,Romanian,Male,1929,2010,FALSE,81
Gonzalo Ariza,Colombian,Male,1912,1995,FALSE,83
Siah Armajani,American,Male,1939,Alive,TRUE,
Arman,American,Male,1928,2005,FALSE,77
Armando,Dutch,Male,1929,Alive,TRUE,
Kenneth Armitage,British,Male,1916,2002,FALSE,86
John Taylor Arms,American,Male,1887,1953,FALSE,66
John Armstrong,British,Male,1893,1973,FALSE,80
François Arnal,French,Male,1924,2012,FALSE,88
Eugène Atget,French,Male,1857,1927,FALSE,70
John Atherton,American,Male,1900,1952,FALSE,52
Anna Atkins,British,Female,1797,1871,FALSE,74
Conrad Atkinson,British,Male,1940,Alive,TRUE,
Lawrence Atkinson,British,Male,1873,1931,FALSE,58
Terry Atkinson,British,Male,1939,Alive,TRUE,
Jean-Michel Atlan,French,Male,1913,1960,FALSE,47
Dotty Attie,American,Female,1938,Alive,TRUE,
Carl Auböck,Austrian,Male,1924,1993,FALSE,69
Charles Aubry,French,Male,1811,1877,FALSE,66
Frank Auerbach,British,Male,1931,Alive,TRUE,
Gae Aulenti,Italian,Female,1930,2012,FALSE,82
George Ault,American,Male,1891,1948,FALSE,57
Darrel Austin,American,Male,1907,1994,FALSE,87
Mario Avati,Italian,Male,1921,2009,FALSE,88
Edward Avedisian,American,Male,1936,2007,FALSE,71
Richard Avedon,American,Male,1923,2004,FALSE,81
Frances Avery,American,Female,1910,2006,FALSE,96
Milton Avery,American,Male,1885,1965,FALSE,80
Kiyoshi Awazu,Japanese,Male,1929,2009,FALSE,80
Ay-O,Japanese,Male,1931,Alive,TRUE,
Alice Aycock,American,Female,1946,Alive,TRUE,
Pierre Ayot,Canadian,Male,1943,1995,FALSE,52
Michael Ayrton,British,Male,1921,1975,FALSE,54
Luis Cruz Azaceta,American,Male,1942,Alive,TRUE,
Umetaro Azechi,Japanese,Male,1902,1999,FALSE,97
Kengiro Azuma,Japanese,Male,1926,Alive,TRUE,
Johannes Baader,German,Male,1875,1955,FALSE,80
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892,1927,FALSE,35
Kurt W. Baasch,American,Male,1891,1964,FALSE,73
Alice Baber,American,Female,1928,1982,FALSE,54
Edmondo Bacci,Italian,Male,1913,1978,FALSE,65
Elvira Bach,German,Female,1951,Alive,TRUE,
Olof Backman,Swedish,Male,1899,Alive,TRUE,
Olof Backstrom,Finnish,Male,1922,Alive,TRUE,
Francis Bacon,British,Male,1909,1992,FALSE,83
Peggy Bacon,American,Female,1895,1987,FALSE,92
Karl Baden,American,Male,1952,Alive,TRUE,
Mowry Thatcher Baden,American,Male,1936,Alive,TRUE,
Aquiles Badi,Argentine,Male,1894,1976,FALSE,82
Libero Badii,Argentine,Male,1916,2001,FALSE,85
Frank Badur,German,Male,1944,Alive,TRUE,
Donald Baechler,American,Male,1956,Alive,TRUE,
Jo Baer,American,Female,1929,Alive,TRUE,
Martin Baer,American,Male,1894,1961,FALSE,67
Olle Baertling,Swedish,Male,1911,1981,FALSE,70
Myrna Báez,American,Female,1931,Alive,TRUE,
John Bageris,American,Male,1924,2000,FALSE,76
Heinz Bahr,German,Male,1934,Alive,TRUE,
Malcolm Bailey,American,Male,1947,2011,FALSE,64
Oscar Bailey,American,Male,1925,Alive,TRUE,
William Bailey,American,Male,1930,Alive,TRUE,
Larry Bair,American,Male,1952,1990,FALSE,38
Eugenie Baizerman,American,Female,1899,1949,FALSE,50
Enrico Baj,Italian,Male,1924,2003,FALSE,79
Mikal Baker,American,Male,1946,Alive,TRUE,
Vagrich Bakhchanyan,Russian,Male,1938,2009,FALSE,71
Léon Bakst,Russian,Male,1866,1924,FALSE,58
Gerard Baksteen,Dutch,Male,1887,1976,FALSE,89
Amèrico Balán,Argentine,Male,1915,1986,FALSE,71
Jirí Balcar,Czech,Male,1929,1968,FALSE,39
John Baldessari,American,Male,1931,Alive,TRUE,
George Baldessin,Australian,Male,1939,1978,FALSE,39
C. Leroy Baldridge,American,Male,1889,1975,FALSE,86
Édouard-Denis Baldus,French,Male,1813,1882,FALSE,69
Benjamin Baldwin,American,Male,1913,1993,FALSE,80
Joost Baljeu,Dutch,Male,1925,1991,FALSE,66
Giacomo Balla,Italian,Male,1871,1958,FALSE,87
R. Maxil Ballinger,American,Male,1914,1958,FALSE,44
Theo H. Ballmer,Swiss,Male,1902,1965,FALSE,63
Alexander Bally,American,Male,1938,Alive,TRUE,
John F. Balossi,American,Male,1931,2007,FALSE,76
Balthus (Baltusz Klossowski de Rola),French,Male,1908,2001,FALSE,93
Lewis Baltz,American,Male,1945,2014,FALSE,69
Thomas Bamberger,American,Male,1948,Alive,TRUE,
McDonald (Mackey Jeffries) Bane,American,Female,1928,Alive,TRUE,
Colette Bangert,American,Female,1934,Alive,TRUE,
Walter Darby Bannard,American,Male,1934,2016,FALSE,82
John Banting,British,Male,1902,1972,FALSE,70
Rudolf Baranik,American,Male,1920,1998,FALSE,78
Vladimir Baranoff-Rossiné,Ukrainian,Male,1888,1944,FALSE,56
Anthony Barboza,American,Male,1944,Alive,TRUE,
Miquel Barcelo,Spanish,Male,1957,Alive,TRUE,
Peter Bardazzi,American,Male,1943,Alive,TRUE,
J. Baric,French,Male,1825,1905,FALSE,80
Richard Baringer,American,Male,1921,1980,FALSE,59
George Barker,Australian,Male,1942,Alive,TRUE,
Walter William Barker,American,Male,1921,2004,FALSE,83
Ernst Barlach,German,Male,1870,1938,FALSE,68
George Barnard,American,Male,1819,1902,FALSE,83
Matthew Rackham Barnes,American,Male,1880,1951,FALSE,71
Robert Barnes,American,Male,1934,Alive,TRUE,
Will Barnet,American,Male,1911,2012,FALSE,101
Tina Barney,American,Female,1945,Alive,TRUE,
Hannelore Baron,American,Female,1926,1987,FALSE,61
Martin Barooshian,American,Male,1929,Alive,TRUE,
Maurice Barraud,Swiss,Male,1889,1955,FALSE,66
Susan Barron,American,Female,1947,Alive,TRUE,
Thomas F. Barrow,American,Male,1938,Alive,TRUE,
D. F. Barry,American,Male,1854,1934,FALSE,80
Robert Barry,American,Male,1936,Alive,TRUE,
Robert Bart,American,Male,1923,Alive,TRUE,
Frances Barth,American,Female,1946,Alive,TRUE,
Ruodi Barth,Swiss,Male,1921,1999,FALSE,78
"Ralph Bartholomew, Jr.",American,Male,1907,1985,FALSE,78
Jennifer Bartlett,American,Female,1941,Alive,TRUE,
Robert Bartlett,British,Male,1922,1979,FALSE,57
Carlo Bartoli,Italian,Male,1931,Alive,TRUE,
Luigi Bartolini,Italian,Male,1892,1963,FALSE,71
Joseph Bartscherer,American,Male,1954,Alive,TRUE,
Gianfranco Baruchello,Italian,Male,1924,Alive,TRUE,
Héctor Basaldua,Argentine,Male,1895,1976,FALSE,81
Bernard Baschet,French,Male,1917,2015,FALSE,98
François Baschet,French,Male,1920,2014,FALSE,94
Georg Baselitz,German,Male,1938,Alive,TRUE,
Mati Basis,Israeli,Male,1933,Alive,TRUE,
Leonard Baskin,American,Male,1922,2000,FALSE,78
Jean-Michel Basquiat,American,Male,1960,1988,FALSE,28
Joel Bass,American,Male,1943,Alive,TRUE,
Saul Bass,American,Male,1920,1996,FALSE,76
Miriam Bat-Yosef,German,Female,1931,Alive,TRUE,
Josef Bato,Hungarian,Male,1888,1966,FALSE,78
John Battan,American,Male,1943,1976,FALSE,33
Wall Batterton,British,Male,1932,Alive,TRUE,
Dora M. Batty,British,Female,1900,1966,FALSE,66
Eugen Batz,German,Male,1905,1986,FALSE,81
André Bauchant,French,Male,1873,1958,FALSE,85
Karl Bauer,German,Male,1868,1942,FALSE,74
Rudolph Bauer,American,Male,1889,1954,FALSE,65
Mary Bauermeister,American,Female,1934,Alive,TRUE,
Marilyn Baum,American,Female,1939,Alive,TRUE,
Hans Theo Baumann,German,Male,1924,Alive,TRUE,
Otto Baumberger,Swiss,Male,1889,1961,FALSE,72
Willi Baumeister,German,Male,1889,1955,FALSE,66
Lothar Baumgarten,German,Male,1944,Alive,TRUE,
Edward Bawden,British,Male,1903,1989,FALSE,86
Iain Baxter&,Canadian,Male,1936,Alive,TRUE,
Hippolyte Bayard,French,Male,1801,1887,FALSE,86
Herbert Bayer,American,Male,1900,1985,FALSE,85
Ed Baynard,American,Male,1940,Alive,TRUE,
Thomas Bayrle,German,Male,1937,Alive,TRUE,
Douglas Baz,American,Male,1943,Alive,TRUE,
Jean Bazaine,French,Male,1904,2001,FALSE,97
Castera Bazile,Haitian,Male,1923,1966,FALSE,43
William Baziotes,American,Male,1912,1963,FALSE,51
Gifford Beal,American,Male,1879,1956,FALSE,77
Jack Beal,American,Male,1931,2013,FALSE,82
Lester Beall,American,Male,1903,1969,FALSE,66
Mark Beard,American,Male,1956,Alive,TRUE,
Romare Bearden,American,Male,1911,1988,FALSE,77
Aubrey Beardsley,British,Male,1872,1898,FALSE,26
Bruce Beasley,American,Male,1939,Alive,TRUE,
Felice Beato,Italian,Male,1825,1903,FALSE,78
Cecil Beaton,British,Male,1904,1980,FALSE,76
Robert Beauchamp,American,Male,1923,1995,FALSE,72
André Beaudin,French,Male,1895,1975,FALSE,80
Alessandro Becchi,Italian,Male,1946,Alive,TRUE,
Bernd Becher,German,Male,1931,2007,FALSE,76
Thelma Becherer,American,Female,1916,2008,FALSE,92
Robert Bechtle,American,Male,1932,Alive,TRUE,
Gustav K. Beck,Austrian,Male,1902,1983,FALSE,81
Fred Becker,American,Male,1913,2004,FALSE,91
Bill Beckley,American,Male,1946,Alive,TRUE,
Max Beckmann,German,Male,1884,1950,FALSE,66
Francis Bedford,British,Male,1816,1894,FALSE,78
René Beeh,German,Male,1886,1922,FALSE,36
Jan Bontjes van Beek,German,Male,1899,1969,FALSE,70
Chris Hendrik Beekman,Dutch,Male,1887,1964,FALSE,77
Max Beerbohm,British,Male,1872,1956,FALSE,84
Hedda Beese,German,Female,1944,Alive,TRUE,
Peter Behrens,German,Male,1868,1940,FALSE,72
Edith Behring,Brazilian,Female,1916,1996,FALSE,80
John Behringer,American,Male,1939,Alive,TRUE,
J. J. Beljon,Dutch,Male,1922,2002,FALSE,80
Alistair Macready Bell,Canadian,Male,1913,1997,FALSE,84
Charles M. Bell,American,Male,1848,1893,FALSE,45
Larry Bell,American,Male,1939,Alive,TRUE,
Vanessa Bell,British,Female,1879,1961,FALSE,82
William H. Bell,American,Male,1830,1910,FALSE,80
Ross Bellah,American,Male,1907,2004,FALSE,97
Joseph Bellanca,American,Male,1930,Alive,TRUE,
John Bellany,British,Male,1942,2013,FALSE,71
Rudolf Belling,German,Male,1886,1972,FALSE,86
Mario Bellini,Italian,Male,1935,Alive,TRUE,
Hans Bellmer,German,Male,1902,1975,FALSE,73
Ernest J. Bellocq,American,Male,1873,1949,FALSE,76
George Bellows,American,Male,1882,1925,FALSE,43
Rossella Bellusci,Italian,Female,1947,Alive,TRUE,
Giandomenico Belotti,Italian,Male,1922,Alive,TRUE,
Christian Belpaire,Congolese,Male,1949,Alive,TRUE,
Antoli Pawlowitsch Belski,Russian,Male,1896,1971,FALSE,75
Ahron Ben-Shmuel,American,Male,1903,1984,FALSE,81
Ben-Zion,American,Male,1897,1987,FALSE,90
Adolf Benca,American,Male,1959,Alive,TRUE,
W. T. Benda,American,Male,1873,1948,FALSE,75
Niels Sylvester Bendtsen,Danish,Male,1943,Alive,TRUE,
Nair Benedicto,Brazilian,Female,1940,Alive,TRUE,
Luis Fernando Benedit,Argentine,Male,1937,2011,FALSE,74
G. A. Beneker,American,Male,1882,1934,FALSE,52
Lynda Benglis,American,Female,1941,Alive,TRUE,
Billy Al Bengston,American,Male,1934,Alive,TRUE,
Jim Bengston,American,Male,1942,Alive,TRUE,
Gordon Bennett,American,Male,1933,2012,FALSE,79
Henry Hamilton Bennett,American,Male,1843,1908,FALSE,65
Ward Bennett,American,Male,1917,2003,FALSE,86
Alexander Benois,Russian,Male,1870,1960,FALSE,90
David Bentley,American,Male,1938,Alive,TRUE,
Nicholas Bentley,British,Male,1907,1978,FALSE,71
Thomas Hart Benton,American,Male,1889,1975,FALSE,86
Roloff Beny,Canadian,Male,1924,1984,FALSE,60
Etienne (Istvan) Béothy,Hungarian,Male,1897,1962,FALSE,65
Christian Bérard,French,Male,1902,1949,FALSE,47
Roberto Berdecio,Bolivian,Male,1913,1996,FALSE,83
Vera Berdich,American,Female,1915,2003,FALSE,88
Ed Bereal,American,Male,1937,Alive,TRUE,#VALUE!
Stephen Lynn Berens,American,Male,1952,Alive,TRUE,#VALUE!
Charles Berger,American,Male,1943,Alive,TRUE,#VALUE!
Jason Berger,American,Male,1924,2010,FALSE,86
Hagbard Elis Bergh,Swedish,Male,1881,1954,FALSE,73
Håkan Bergkvist,Swedish,Male,1946,Alive,TRUE,#VALUE!
Ella Bergmann-Michel,German,Female,1896,1971,FALSE,75
Henryk Berlewi,Polish,Male,1894,1967,FALSE,73
Eugene Berman,American,Male,1899,1972,FALSE,73
Mieczyslaw Berman,Polish,Male,1903,1975,FALSE,72
Sarah Berman,American,Female,1895,1957,FALSE,62
Wallace Berman,American,Male,1926,1976,FALSE,50
Zeke Berman,American,Male,1951,Alive,TRUE,#VALUE!
Cundo Bermúdez,Cuban,Male,1914,2008,FALSE,94
José Ygnacio Bermudez,Cuban,Male,1922,1988,FALSE,66
Camille Bernabé,French,Male,1808,1900,FALSE,92
Émile Bernard,French,Male,1868,1941,FALSE,73
Francis Bernard,French,Male,1900,1979,FALSE,79
Valère Bernard,French,Male,1860,1936,FALSE,76
Jerry Berndt,American,Male,1943,2013,FALSE,70
Lucian Bernhard,American,Male,1883,1972,FALSE,89
Ruth Bernhard,American,Female,1905,2006,FALSE,101
Antonio Berni,Argentine,Male,1905,1981,FALSE,76
Janez Bernik,Yugoslav,Male,1933,Alive,TRUE,#VALUE!
Judith Bernstein,American,Female,1942,Alive,TRUE,#VALUE!
Richard Bernstein,American,Male,1939,2002,FALSE,63
Jean Berque,French,Male,1896,1954,FALSE,58
Miguel Ortiz Berrocal,Spanish,Male,1933,2006,FALSE,73
Berthold-Mahn (Charles Désiré),French,Male,1893,1975,FALSE,82
René Bertholo,Portuguese,Male,1935,2005,FALSE,70
Paul Berthon,French,Male,1872,1909,FALSE,37
Jake Berthot,American,Male,1939,2014,FALSE,75
Gianni Bertini,Italian,Male,1922,Alive,TRUE,#VALUE!
Harry Bertoia,American,Male,1915,1978,FALSE,63
Albert Besnard,French,Male,1849,1934,FALSE,85
Forrest Bess,American,Male,1911,1977,FALSE,66
Alan Randall Best,Canadian,Male,1958,Alive,TRUE,#VALUE!
Pierre Betz,French,Male,1899,1969,FALSE,70
Wim Beuning,Dutch,Male,1914,1986,FALSE,72
Joseph Beuys,German,Male,1921,1986,FALSE,65
Thomas Bewick,British,Male,1753,1828,FALSE,75
Jyoti Bhatt,Indian,Male,1934,Alive,TRUE,#VALUE!
Domenico Bianchi,Italian,Male,1955,Alive,TRUE,#VALUE!
Pamela Bianco,American,Female,1906,1994,FALSE,88
Fulvio Bianconi,Italian,Male,1915,1996,FALSE,81
Alberto Biasi,Italian,Male,1937,Alive,TRUE,#VALUE!
Guido Biasi,Italian,Male,1933,Alive,TRUE,#VALUE!
Ashley Bickerton,British,Male,1959,Alive,TRUE,#VALUE!
George Biddle,American,Male,1885,1973,FALSE,88
Charles Biederman,American,Male,1906,2004,FALSE,98
James Biederman,American,Male,1947,Alive,TRUE,#VALUE!
Aenne Biermann,German,Female,1898,1933,FALSE,35
Wilson Bigaud,Haitian,Male,1931,2010,FALSE,79
Max Bill,Swiss,Male,1908,1994,FALSE,86
Joseph Binder,American,Male,1898,1972,FALSE,74
Ilse Bing,American,Female,1899,1998,FALSE,99
Robert J. Bingham,British,Male,1824,1870,FALSE,46
Manfred Bingler,Swiss,Male,1928,Alive,TRUE,#VALUE!
Peter Birkhauser,Swiss,Male,1911,1976,FALSE,65
Robert Birmelin,American,Male,1933,Alive,TRUE,#VALUE!
Werner Bischof,Swiss,Male,1916,1954,FALSE,38
Elmer Bischoff,American,Male,1916,1991,FALSE,75
Isabel Bishop,American,Female,1902,1988,FALSE,86
James Bishop,American,Male,1927,Alive,TRUE,#VALUE!
Michael Bishop,American,Male,1946,Alive,TRUE,#VALUE!
Maureen Bisilliat,American,Female,1931,Alive,TRUE,#VALUE!
Antonio Bisquert Pérez,Spanish,Male,1906,1990,FALSE,84
Julius Bissier,German,Male,1893,1965,FALSE,72
Roger Bissière,French,Male,1888,1964,FALSE,76
George Bissill,British,Male,1896,1973,FALSE,77
Auguste Rosalie Bisson,French,Male,1826,1900,FALSE,74
Louis-Auguste Bisson,French,Male,1814,1876,FALSE,62
Arnold Bittleman,American,Male,1933,1985,FALSE,52
Dolores Dembus Bittleman,American,Female,1931,Alive,TRUE,#VALUE!
Ion Bitzan,Romanian,Male,1924,1997,FALSE,73
Judith Black,American,Female,1945,Alive,TRUE,#VALUE!
James Wallace Black,American,Male,1825,1896,FALSE,71
Wendell Black,American,Male,1919,1972,FALSE,53
Elizabeth Blackadder,British,Female,1931,Alive,TRUE,#VALUE!
Morris Blackburn,American,Male,1902,1979,FALSE,77
Tom Blackwell,American,Male,1938,Alive,TRUE,#VALUE!
Ronald Bladen,American,Male,1918,1988,FALSE,70
Nell Blaine,American,Female,1922,1996,FALSE,74
Jean-Charles Blais,French,Male,1956,Alive,TRUE,#VALUE!
Jeffrey Blake,American,Male,1954,Alive,TRUE,#VALUE!
Peter Blake,British,Male,1932,Alive,TRUE,#VALUE!
Werner Blaser,Swiss,Male,1924,Alive,TRUE,#VALUE!
Edwin Howland Blashfield,American,Male,1848,1936,FALSE,88
Arbit Blatas,American,Male,1908,1999,FALSE,91
Ross Bleckner,American,Male,1949,Alive,TRUE,#VALUE!
René Bleibtreu,French,Male,1920,Alive,TRUE,#VALUE!
André Bloc,Nationality unknown,Male,1896,1966,FALSE,70
Albert Bloch,American,Male,1882,1961,FALSE,79
Julius Thiengen Bloch,American,Male,1888,1966,FALSE,78
Pierrette Bloch,French,Female,1928,Alive,TRUE,#VALUE!
Gay Block,American,Female,1942,Alive,TRUE,#VALUE!
Barbara Bloom,American,Female,1951,Alive,TRUE,#VALUE!
Hyman Bloom,American,Male,1913,2009,FALSE,96
Vern Blosum,American,Male,1936,Alive,TRUE,#VALUE!
Sandra Blow,British,Female,1925,2006,FALSE,81
Oscar Bluemner,American,Male,1867,1938,FALSE,71
